date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,BAC,22.72,22.72,-0.00742682394058547,0.01585001453592285,0.09970951261328423,-0.4685689040696549,0.11610558126050474,2.9239614211193996,3.198480537654842,2.9556256448008456,0.9514206741299496,2.1990872935904755,3.034230580109665,3,2,5,2,2017,2017-02-02,0.49059835091311477,0.7782083559216446
2017-02-03,BAC,23.29,23.29,0.02508802816901401,0.016116983998203955,-0.028529580625404304,1.5566205297349536,0.20058701016803648,3.230247917000472,3.363088525584689,2.9616503817835285,1.0094420599304121,2.306635714536177,3.186725932028171,4,3,5,2,2017,2017-02-03,0.5396029058174554,0.6726004209634024
2017-02-06,BAC,23.12,23.12,-0.007299270072992581,0.0159587623668343,-0.03756084662536691,-0.4573832171448342,0.2652777167844277,3.180836815543399,2.9933159117956514,3.0999287087964515,1.061361874841115,2.438294455227524,3.3771772495710923,0,6,6,2,2017,2017-02-06,0.5882021925731941,0.6841320034295236
2017-02-07,BAC,22.9,22.9,-0.009515570934256146,0.015847346133533946,-0.03992413721227341,-0.6004520160079434,0.13357138815882405,3.0503446277277244,2.8869567284402966,3.4437521523589436,1.1056898864327727,2.600497983119754,3.615274040280853,1,7,6,2,2017,2017-02-07,0.6350217887896005,0.7234333965659239
2017-02-08,BAC,22.67,22.67,-0.010043668122270644,0.015742046329933854,0.07943273879618863,-0.6380154086557593,0.07376729632472603,2.663058192426512,2.7867458639186977,3.4341985015838947,1.1287601691672922,2.7676353511063714,3.865521453893576,2,8,6,2,2017,2017-02-08,0.6679158314443869,0.8065340511804305
2017-02-09,BAC,23.12,23.12,0.019850022055579952,0.015814283691173867,-0.0068916365540410834,1.2551957738470618,0.10827293732446759,2.86802346832951,3.1609029908116937,3.704064811397553,1.2393362304812778,3.024371306200508,4.2064871831288695,3,9,6,2,2017,2017-02-09,0.7158833397028814,0.79824466326965
2017-02-10,BAC,23.08,23.08,-0.0017301038062285112,0.015571191134323871,0.05609085599921415,-0.11110927810877684,0.006074645272265975,2.3008097688926226,3.152853656918912,4.321056597509319,1.3269045720989414,3.232870968532122,4.469744575295716,4,10,6,2,2017,2017-02-10,0.7626196366977767,0.8375710969440378
2017-02-13,BAC,23.4,23.4,0.013864818024263537,0.015453023661454577,0.11497789096986634,0.8972236326051451,0.2957355319322214,2.0165147460658144,3.282700827587349,3.905924474141803,1.4382258003763524,3.3938073659352748,4.638191316730323,0,13,7,2,2017,2017-02-13,0.8107003239397188,0.8923472339293217
2017-02-14,BAC,24.06,24.06,0.028205128205128105,0.015871921037534577,0.0857784029276752,1.7770456479985912,0.6273841444796164,2.1033921797251804,3.378187347765969,3.826344286049436,1.6397424897692434,3.5541591504462753,4.75810915012046,1,14,7,2,2017,2017-02-14,0.9014161275321739,0.897271715030654
2017-02-15,BAC,24.58,24.58,0.021612635078969156,0.01594291584015069,0.0,1.3556262415021865,1.5704876533357388,1.770968257453246,3.4661792378538365,3.78134936454465,1.8306520243778321,3.5734373188690576,4.666827130458709,2,15,7,2,2017,2017-02-15,0.9999900251399134,0.9471280974173454
2017-02-16,BAC,24.58,24.58,0.0,0.015697017915158398,-0.009796071526904367,0.0,1.1979074230404556,1.7597230101527628,3.5326176413319286,4.045910929385034,1.987964952659303,3.5904764011494326,4.588429687147168,3,16,7,2,2017,2017-02-16,0.5255800484628153,0.6288433089162532
2017-02-17,BAC,24.52,24.52,-0.0024410089503661414,0.015480924259471666,0.0431475087885906,-0.1576785022297789,1.245045868428482,1.9655501020124613,3.552994122203624,4.1563618438069065,2.148186981268822,3.670597895585017,4.60307936420829,4,17,7,2,2017,2017-02-17,0.5782849356507579,0.7901168632536011
2017-02-21,BAC,24.78,24.78,0.01060358890701485,0.015273984201336775,0.001664355480853029,0.6942254730161909,1.3504402274542038,1.9306855122816773,3.6635795845502703,4.025606066206695,2.297530446410256,3.7054848624543495,4.55578022247643,1,21,8,2,2017,2017-02-21,0.47734129234296946,0.5921982434348816
2017-02-22,BAC,24.79,24.79,0.0004035512510087713,0.015035525550251633,-0.03549146158947299,0.02683985003783373,1.4346220690538332,2.0068579352983322,3.751005755802499,4.351619279958577,2.4389949559724196,3.762409070736651,4.54459378176805,2,22,8,2,2017,2017-02-22,0.1587021934410028,0.8644621494289182
2017-02-23,BAC,24.58,24.58,-0.008471157724889156,0.014953002286410721,-0.05998704870850293,-0.5665188543833594,1.0364941790641267,1.7613792546788896,3.582445968281154,4.3239422053527115,2.5154584564237137,3.7943951282100414,4.523243316647454,3,23,8,2,2017,2017-02-23,0.34839556086799073,0.8552242308203186
2017-02-24,BAC,24.23,24.23,-0.01423921887713575,0.015046790853871663,0.0587464121781533,-0.9463292881134108,0.5336864875918385,1.6209975307479818,3.3947736748964537,4.047220804020973,2.548721936833454,3.854465384365453,4.559058278162626,4,24,8,2,2017,2017-02-24,0.39233311281967703,0.9423330299507178
2017-02-27,BAC,24.57,24.57,0.014032191498142721,0.014932121130966322,0.018887120623715073,0.9397319627311808,0.704514091963401,1.6456197209373926,3.4728833640166163,3.9429858931367616,2.6053890906874657,3.8799335684564973,4.538768473646037,0,27,9,2,2017,2017-02-27,0.4552488031185538,0.8017770041793923
2017-02-28,BAC,24.68,24.68,0.004477004477004387,0.014686849743860666,0.14250817383106215,0.30483082179524884,0.8395813708499222,1.5709057607248482,3.4151179410286767,4.165818304238234,2.64285274042167,3.869842048089324,4.47804612719776,1,28,9,2,2017,2017-02-28,0.7162283238732068,0.6722714425737174
