date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,CAH,74.44,74.44,-0.01207697412076969,0.01562752230643102,0.023284756102536483,-0.7728015922139997,-0.007499296911837613,0.9099663935763738,-0.6869879461689061,-0.15064663480728527,0.504147844544332,-0.2864222545065633,-1.9998265999583007,3,2,5,2,2017,2017-02-02,0.548744901523754,0.7859992925208665
2017-02-03,CAH,74.87,74.87,0.005776464266523451,0.015399308041977203,0.06010123207213492,0.3751119368985477,-0.14239955692081482,0.7399737603724598,-0.6028778237966008,-0.09238806188305819,0.5221689167402729,-0.24902093384721963,-1.971049465639455,4,3,5,2,2017,2017-02-03,0.34227969962923555,0.8658865762949275
2017-02-06,CAH,75.97,75.97,0.014692133030586252,0.015355024357901934,0.09666296769317782,0.9568290279543225,0.28041478283608406,1.3290161529817188,-0.5770183273344347,-0.03427233794337015,0.6443199505650766,-0.17554270681897038,-2.004203443940412,0,6,6,2,2017,2017-02-06,0.4146119273636646,0.9010866154863516
2017-02-07,CAH,77.76,77.76,0.023561932341713998,0.015632885490072582,0.0025910412988975357,1.5072030276609287,0.4502871070268145,1.5569282098846922,-0.4094790772605692,0.08465519806818311,0.8986630880120764,-0.018191041938909778,-1.9831660043071604,1,7,6,2,2017,2017-02-07,0.43041838467227866,0.9302786285399838
2017-02-08,CAH,77.81,77.81,0.000643004115226331,0.015375827144147031,-0.01895519807776387,0.04181915608170044,0.5790051295705657,1.4662134508676636,-0.4141513136215895,0.0620021959998457,1.12727821843091,0.14191306022329236,-1.9428789840738265,2,8,6,2,2017,2017-02-08,0.521508930015324,0.9168182235982694
2017-02-09,CAH,77.45,77.45,-0.004626654671636032,0.015164980049133614,-0.0026816770084323537,-0.3050880816622213,0.42659920649990135,1.5382526090695763,-0.42890021597273226,-0.04089128890651506,1.3497726155801413,0.29374999224881515,-1.982315485696528,3,9,6,2,2017,2017-02-09,0.5659776334307357,0.8888640190518587
2017-02-10,CAH,77.4,77.4,-0.0006455777921239303,0.014919459419979854,0.036549419539642795,-0.04327085680191501,0.7301292667950088,0.9938354152617003,-0.44350142199984816,0.015329841074641288,1.444925604401229,0.4186416967698386,-1.8702376784286878,4,10,6,2,2017,2017-02-10,0.249831227747829,0.7857794551129569
2017-02-13,CAH,78.07,78.07,0.008656330749353902,0.014729433470338239,0.04437256415320801,0.5876893206236209,0.7748018767302921,0.7573159898180852,-0.4000806417398904,-0.04230645067731256,1.5194551039486723,0.5461639388682249,-1.6857141042903914,0,13,7,2,2017,2017-02-13,0.2891656851713177,0.7856343086011068
2017-02-14,CAH,78.88,78.88,0.01037530421416677,0.01456932790642166,0.08441391264547955,0.7121333448465863,0.7748565292362898,0.9099435430755038,-0.3167972152821002,-0.04824036957090183,1.6123186521176518,0.6846872893641024,-1.4875484580832088,1,14,7,2,2017,2017-02-14,0.33760623143049595,0.8609518384073178
2017-02-15,CAH,80.42,80.42,0.01952332657200828,0.014670309921442701,-0.009611006638018334,1.3308053256238452,1.0367642886234643,0.9579116073720837,-0.1659905675611581,-0.029694136147777928,1.7299855650474971,0.8410348486131372,-1.2380003048377861,2,15,7,2,2017,2017-02-15,0.38923592373892646,0.867861003394725
2017-02-16,CAH,80.24,80.24,-0.0022382491917434244,0.01445356968781884,0.025528867354875518,-0.15485788217631616,0.8843598072734637,1.0805888780843291,-0.1891245472014024,-0.04089339639038512,1.7982125252309347,0.9656281625641157,-1.0453258301454484,3,16,7,2,2017,2017-02-16,0.4385166301693634,0.8248463937570106
2017-02-17,CAH,80.71,80.71,0.005857427716849495,0.014228114598500322,0.03455935092959181,0.4116798242169684,1.047510128946884,1.235156742822619,-0.12990649736132706,-0.006572960801982991,1.857611249766179,1.0821971808441073,-0.8675904057634279,4,17,7,2,2017,2017-02-17,0.3381824811743746,0.9050923786576898
2017-02-21,CAH,81.34,81.34,0.0078057241977451675,0.014025038156781008,-0.01435703826987181,0.5565563608802843,1.3085210514438592,1.2163031483112259,-0.029536968144683533,-0.006616564011811152,1.898517266371503,1.1842900891727761,-0.6910583543870967,1,21,8,2,2017,2017-02-21,0.5405031794334686,0.923463769089317
2017-02-22,CAH,81.08,81.08,-0.0031964593066142744,0.013833711184464378,0.03650569675163572,-0.23106303608564435,1.342678085596507,1.3267848094233137,-0.08387880469421355,-0.006729553374663331,1.912198876132957,1.2688205587359838,-0.5498403399527663,2,22,8,2,2017,2017-02-22,0.590889084393592,0.9448577357208896
2017-02-23,CAH,81.73,81.73,0.008016773556980938,0.013641018770483083,0.023166225576370426,0.5876961018723847,1.5172145249290623,1.5093100998715618,-0.023091181444212423,-0.023050591871885934,1.936283621799391,1.3548581528374775,-0.4107577624265806,3,23,8,2,2017,2017-02-23,0.9355961444459086,0.9820635370930842
2017-02-24,CAH,82.14,82.14,0.005016517802520548,0.01342205885472181,0.019998339488071958,0.373751736363141,1.3435959020109052,1.6074954596694675,0.0867736196472273,-0.030089053238923368,1.9550210736938738,1.4342177789598296,-0.278498962360841,4,24,8,2,2017,2017-02-24,0.9999996713260745,0.996223460633506
2017-02-27,CAH,82.49,82.49,0.0042610177745312505,0.013202929379302312,-0.06478077634463797,0.3227327551422847,2.1256411260710415,1.6149784578715882,0.26612587693781803,-0.031030455536309995,1.960034289080827,1.5008487697235435,-0.15292998006175518,0,27,9,2,2017,2017-02-27,0.5412084703400459,0.9934462719218748
2017-02-28,CAH,81.37,81.37,-0.013577403321614612,0.013313955823891947,0.0395400500494373,-1.019787319501985,2.012866566529411,1.3653352276127175,0.1703382002077194,-0.019111047914401772,1.908087648070649,1.5355310818209518,-0.05983306168897456,1,28,9,2,2017,2017-02-28,0.5383269864535052,0.8050790728439627
2017-03-01,CAH,82.05,82.05,0.008356888288066688,0.013139387929697748,-0.015192154107168628,0.6360180803535288,2.010468126771301,1.4040573771013907,0.1937915549219397,-0.04801234792328917,1.8714602731264187,1.5694339002377955,0.036771999128210886,2,1,9,3,2017,2017-03-01,0.5734746941405074,0.8114749595049926
2017-03-02,CAH,81.79,81.79,-0.0031687995124922708,0.012961811726339544,0.06298536896270288,-0.24447195958362755,1.533966126547582,1.478735828765768,0.17846459631367134,-0.0800645205266903,1.8275460567967428,1.5984767513163332,0.12132036003300126,3,2,9,3,2017,2017-03-02,0.6397886751970444,0.8582494125091993
2017-03-03,CAH,82.85,82.85,0.012960019562293423,0.01289085732454963,-0.06783022466605758,1.0053652162926416,1.6849482143770231,1.6295966129650272,0.2758450713229453,-0.04441946226863892,1.8142892257172798,1.6356628120908638,0.21460516561000365,4,3,9,3,2017,2017-03-03,0.3919985597241168,0.7145893105354972
2017-03-06,CAH,81.7,81.7,-0.013880506940253334,0.013020124554394283,-0.029017407871908756,-1.06608096429989,1.6345773249187194,1.4692656653822442,0.1717003825865703,-0.10486358040645696,1.7580216605774488,1.6531810016668413,0.28564428804281394,0,6,10,3,2017,2017-03-06,0.3669583819381523,0.7339492246568986
2017-03-07,CAH,81.21,81.21,-0.005997552019583963,0.01288708850514494,-0.0006019153349736572,-0.46539232016522175,1.4338937317491949,1.4326992245853603,0.1283216300034032,-0.17078044016471014,1.6890667267546433,1.6625114116374353,0.346840398466696,1,7,10,3,2017,2017-03-07,0.37068127623512687,0.7736336446412782
2017-03-08,CAH,81.2,81.2,-0.0001231375446372196,0.012678901030553968,0.04527868529724672,-0.009712004561000935,1.1848634512605498,1.2541637417941307,0.033910376827266546,-0.09070621483833216,1.6129212421745276,1.6582548776444255,0.4024725705517043,2,8,10,3,2017,2017-03-08,0.8266233498732395,0.7782400378411618
2017-03-09,CAH,81.94,81.94,0.00911330049261072,0.012538938845453273,0.006131164743812776,0.7267999792434814,0.9355125074598806,1.4800106310323085,0.06828204312225558,-0.07489308397378576,1.573983111622314,1.6702306438207555,0.4659418950148378,3,9,10,3,2017,2017-03-09,0.9735760818410281,0.8000641208418989
2017-03-10,CAH,82.04,82.04,0.0012204051745179356,0.012332465843159023,0.03175369966015128,0.09895873137122127,0.9619342393553679,1.6722318688456161,0.11903895338586876,-0.017374106443369435,1.5479099813884325,1.6923932763710061,0.5309685206203282,4,10,10,3,2017,2017-03-10,0.4278031376372472,0.7031675595810061
2017-03-13,CAH,82.55,82.55,0.00621647976596762,0.012152433698091438,0.0031397089865744902,0.511541961092446,1.1824311066076896,1.6678685164223497,0.347889837047867,-0.08219202651396063,1.5322062862158765,1.7127857514628622,0.5972244788582449,0,13,11,3,2017,2017-03-13,0.4756375716793824,0.6626430027531289
2017-03-14,CAH,82.6,82.6,0.0006056935190792423,0.011954633968362535,0.07655342839777964,0.05066600288073948,1.2263556953183208,1.3794011056698918,0.24411717510289108,-0.06365413145868938,1.4981857123255302,1.7127977074434615,0.6541088875333259,1,14,11,3,2017,2017-03-14,0.522756973299719,0.6530121340022398
2017-03-15,CAH,83.8,83.8,0.014527845036319542,0.011967995753108472,-0.060926470341871215,1.2138912259010617,1.3382565227071075,1.4784915560212883,0.5442945508568523,0.22054140417121898,1.4962221265397808,1.7205243994486656,0.716927079524987,2,15,11,3,2017,2017-03-15,0.57078829304291,0.6861104971774648
2017-03-16,CAH,82.83,82.83,-0.0115751789976134,0.012037688226886917,0.01768996642268925,-0.9615782349105475,0.9077734054695603,1.2885772457748632,0.7443947507280557,0.11163024746825069,1.4520508439675208,1.7117038296435434,0.7655138106774249,3,16,11,3,2017,2017-03-16,0.6026817485079466,0.6009075081301598
2017-03-17,CAH,83.11,83.11,0.003380417723047202,0.011841226112415091,-0.04736761223502148,0.28547869037843626,0.6164273360446478,1.5621272836235118,0.6393965257980084,0.22483127583757934,1.424139991491155,1.71444917177132,0.8179919821808848,4,17,11,3,2017,2017-03-17,0.5044871533951681,0.5065130712818628
2017-03-20,CAH,82.37,82.37,-0.008903862351100855,0.011810817933084826,-0.05957149732235472,-0.7538734744322053,0.4904548813155341,1.369198709848863,0.5260394477638204,0.09960083173827018,1.366122086848243,1.7017742724108056,0.8591419694093346,0,20,12,3,2017,2017-03-20,0.9514862136420869,0.7263590070508346
2017-03-21,CAH,81.45,81.45,-0.01116911496904216,0.01184334594965157,0.012407601211214677,-0.943070903824333,0.16893526198385792,1.109074555092599,0.4794038163251552,0.03947267331914642,1.2755379392101922,1.6701932643569735,0.8867466856006779,1,21,12,3,2017,2017-03-21,0.2220059191082132,0.6373341573373703
