date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,CMCSA,37.545,37.545,-0.006877397169686494,0.00935942665850671,0.015237625697355234,-0.7348096652304745,2.039456106875536,2.9879475035085337,1.1748515367905583,2.0072954458393406,1.7555637389754273,2.2990141293682322,1.8852625393307398,3,2,5,2,2017,2017-02-02,0.27171841482252035,0.8268192126340385
2017-02-03,CMCSA,37.63,37.63,0.002263949926754494,0.00920471764597296,-0.06547229145003983,0.245955390901639,1.8288492286456004,3.0705792250044497,1.16406067428499,2.0045460726425444,1.7991273701918735,2.4064155257146203,1.9827023520938687,4,3,5,2,2017,2017-02-03,0.321960528495537,0.7534523658349811
2017-02-06,CMCSA,37.27,37.27,-0.00956683497209676,0.009294227493052871,0.02909692007402137,-1.029330837796649,1.469311572231193,3.022471216088685,1.0169790687425204,1.7260994208501328,1.8248383291382966,2.532718516832552,2.1106823928589122,0,6,6,2,2017,2017-02-06,0.3798625834936284,0.7844561725743092
2017-02-07,CMCSA,37.43,37.43,0.00429299704856434,0.009151766248725815,-0.015631257203662527,0.4690894557279636,1.5575003956091704,3.2226322186497023,1.1306259777686902,1.7915043013027436,1.8902986740573489,2.701618777169902,2.2749355681809673,1,7,6,2,2017,2017-02-07,0.4139165277715956,0.7018980763497522
2017-02-08,CMCSA,37.345,37.345,-0.0022709056906224934,0.009030941090875674,0.03175288407466136,-0.2514583660518926,1.3168230081651433,2.989278641832475,1.1486641264621045,1.9748145953353338,1.940674915307387,2.866281685602505,2.4443242911535643,2,8,6,2,2017,2017-02-08,0.4616390732974086,0.6317525956064284
2017-02-09,CMCSA,37.515,37.515,0.004552148882045914,0.008896184541874363,0.011325105225858013,0.5116967684987804,1.4215418974183058,2.833767938300342,1.1634921832171723,2.438581681709833,1.9956540800416003,3.021416054250435,2.605158153477051,3,9,6,2,2017,2017-02-09,0.5232882081430611,0.6081856185806636
2017-02-10,CMCSA,37.575,37.575,0.001599360255897686,0.008749200408062435,0.05365255484280263,0.18280073393036775,1.1964669543069866,2.655312231695936,1.1238455096508302,2.455239856636405,2.039963654354434,3.1587900974105385,2.753802454134915,4,10,6,2,2017,2017-02-10,0.11541117610496546,0.9616555180951052
2017-02-13,CMCSA,37.855,37.855,0.007451763140385648,0.008664074967260082,0.036492858117875844,0.8600760229504554,1.5128838872972998,2.369964928190372,1.2489304965668226,2.4240007727801918,2.0697361908255396,3.238071394983134,2.8456942238315985,0,13,7,2,2017,2017-02-13,0.1923331422731233,0.9474721545017658
2017-02-14,CMCSA,38.045,38.045,0.005019152027473384,0.008538169397297447,0.0489664654761255,0.5878487289163034,1.1660342158706958,2.1381142524973002,1.3243364999896232,2.3887163178183086,2.0803248295964036,3.269441059708947,2.892339899445578,1,14,7,2,2017,2017-02-14,0.2152223514460572,0.9684003872069632
2017-02-15,CMCSA,38.2975,38.2975,0.006636877382047546,0.008436609048831378,-0.05897755432674549,0.786675943336129,1.4383636303570486,2.0726179742648294,1.4566295650211734,2.4451352591274227,2.090845997621513,3.27720008371589,2.9125068364672564,2,15,7,2,2017,2017-02-15,0.3011134940427474,0.9675504850044468
2017-02-16,CMCSA,37.995,37.995,-0.00789868790391024,0.008494586148152815,-0.06538465893598036,-0.9298496437790373,1.3148361221583418,1.9951113896877883,1.2720577675140534,2.4154365890787886,2.0669781822430306,3.2938192753631075,2.956687684821487,3,16,7,2,2017,2017-02-16,0.603907276514477,0.9016196742828996
2017-02-17,CMCSA,37.66,37.66,-0.00881694959863144,0.00857330829910062,0.04487441588507645,-1.0284185860382953,0.9499806632526715,1.7097799914320388,1.2193220916617382,2.2338222644821855,1.99616968454989,3.2912317404504,2.999404376646883,4,17,7,2,2017,2017-02-17,0.6383100192361387,0.8964808760772884
2017-02-21,CMCSA,37.89,37.89,0.006107275624004371,0.008471100995826158,0.009813078410918911,0.7209541743173078,0.7738236712944406,1.5830339458694611,1.5055426439187556,2.254563455769073,1.9394873393157233,3.268458449062263,3.0152950675223433,1,21,8,2,2017,2017-02-21,0.6912732438627577,0.9326324579264422
2017-02-22,CMCSA,37.94,37.94,0.0013196093956189259,0.008331350318910606,-0.057794299575187696,0.15839081842755545,0.9367190087938153,1.6684404118509988,1.5192935768676783,2.4099820462339627,1.8919488567518163,3.2533733215403453,3.0374604450028775,2,22,8,2,2017,2017-02-22,0.7444386508508514,0.9556979237765256
2017-02-23,CMCSA,37.65,37.65,-0.007643647865050007,0.008363418788922187,0.048013365246157375,-0.9139381941717953,0.6026672829548796,1.568266462704869,1.5638930110264038,2.1796649618758193,1.814827332913143,3.237212018519497,3.0721076109276213,3,23,8,2,2017,2017-02-23,0.8001841248816115,0.9625614069438064
2017-02-24,CMCSA,37.89,37.89,0.0063745019920318224,0.008273793557848,-0.07233907391658695,0.7704448929578828,0.8403667512136741,1.491409090145242,1.653872215813642,2.2439109839002724,1.7605919277579853,3.2104059625125383,3.086575679322102,4,24,8,2,2017,2017-02-24,0.8866018767450842,0.9789428800473468
2017-02-27,CMCSA,37.53,37.53,-0.009501187648456089,0.008375560747229924,-0.022044485006137586,-1.1343942137364889,-0.15183859784808043,1.3306027435958074,1.5412940254763239,2.227390670022151,1.6667009868001588,3.176272521553345,3.110021842674129,0,27,9,2,2017,2017-02-27,0.9901131276749433,0.9933154801981324
2017-02-28,CMCSA,37.42,37.42,-0.002930988542499291,0.008270247281954402,0.03460400551730642,-0.3544015605065013,-0.38562666631006537,1.2511361744427727,1.5341586621630705,2.2575100189818573,1.5661074897555036,3.1371701570116555,3.132358547269073,1,28,9,2,2017,2017-02-28,0.5231304837783167,0.6381847805395828
2017-03-01,CMCSA,37.59,37.59,0.004543025120256505,0.008157647124210856,-0.028760108788665417,0.556903853658169,-0.05680934792408803,1.5532353351201384,1.583382651897468,2.0811304253244947,1.5082030155259947,3.131427130242279,3.179428462629727,2,1,9,3,2017,2017-03-01,0.5708293634077132,0.6393091944218839
2017-03-02,CMCSA,37.45,37.45,-0.003724394785847296,0.008070742947755434,-0.04793604819144804,-0.46146864172933333,-0.18642049331820543,1.0593937370853088,1.5744907987671737,2.041693852412181,1.4174489235957446,3.079807304586073,3.18629123325,3,2,9,3,2017,2017-03-02,0.6185373634745943,0.6629894674721724
2017-03-03,CMCSA,37.22,37.22,-0.00614152202937257,0.008040467662884397,0.04630892846139258,-0.7638264696620135,-0.4199674842455147,1.111342815873709,1.5585797508340613,1.8985114977300033,1.3105286967759593,3.032159309349448,3.20724188269827,4,3,9,3,2017,2017-03-03,0.652631463411098,0.5764376835256146
2017-03-06,CMCSA,37.44,37.44,0.005910800644814529,0.007961210975301163,-0.004226829717573943,0.7424499442549858,-0.07665639828449544,1.13717087492489,1.5267775963812462,2.0053087713740094,1.2418964772490038,2.992424192688582,3.2230600297638294,0,6,10,3,2017,2017-03-06,0.39653481554213377,0.5067416960406426
2017-03-07,CMCSA,37.42,37.42,-0.0005341880341879213,0.007834084138825012,-0.06661459758326481,-0.06818768151091635,-0.1554487368696187,1.416941585033954,1.4919378241100212,2.1657310410592316,1.187504795043297,2.981833653267891,3.2703803072558237,1,7,10,3,2017,2017-03-07,0.25268882436017914,0.6251407038538104
2017-03-08,CMCSA,37.11,37.11,-0.008284339925173745,0.007878868301719518,0.05817129046961953,-1.0514631807420534,-0.11890143645663831,1.2898682785300377,1.3430792410745251,2.1850310305425906,1.0966144308995742,2.9622293376965643,3.324564066745071,2,8,10,3,2017,2017-03-08,0.4762411775724514,0.5827062827592947
2017-03-09,CMCSA,37.38,37.38,0.007275666936135794,0.007841046921781674,-0.012895483503209711,0.9278948345436744,-0.03717632679560487,1.4173318925282359,1.440110256001173,2.18410176651134,1.0556985411375677,2.9651308940365264,3.3866332348734858,3,9,10,3,2017,2017-03-09,0.5080273100819304,0.5169440289422176
2017-03-10,CMCSA,37.32,37.32,-0.0016051364365972098,0.007723622784552032,-0.0043708613993044985,-0.20782170250567297,-0.018913715081897244,1.2493438725097403,1.4784070610273432,2.273403551958624,1.0038746114108377,2.950697343884792,3.432047697749074,4,10,10,3,2017,2017-03-10,0.5715011388830812,0.5788923025718449
2017-03-13,CMCSA,37.3,37.3,-0.000535905680600246,0.00759935408167066,0.024445949068947297,-0.0705198987757169,-0.16456867837926403,1.285976401312964,1.7086635862493966,2.1634266734580923,0.9557350925316201,2.9433224258630384,3.486103074593493,0,13,11,3,2017,2017-03-13,0.42929525937751223,0.6411353219308134
2017-03-14,CMCSA,37.41,37.41,0.0029490616621983268,0.0074847329160471505,0.07649175596029276,0.39401027334931144,-0.12802624266241872,1.3015338068731708,1.6398526006382061,2.2152758064522944,0.9276935123764246,2.9413204762198544,3.538266008868116,1,14,11,3,2017,2017-03-14,0.47683043532620945,0.6817284783767215
