date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,DHI,29.88,29.88,0.006738544474393482,0.0177226059708608,0.001189574249732702,0.3802231164803234,1.0365053365138477,0.30261175066333124,-0.37517694538362145,0.5732980416453656,1.3153265669401641,-0.01476091988880072,-0.7977440555196905,3,2,5,2,2017,2017-02-02,0.5212451576824304,0.9466590933850108
2017-02-03,DHI,29.89,29.89,0.00033467202141901353,0.01743030702637246,-0.0483647301339114,0.019200580971559883,0.7361774756138985,0.32338271288698434,-0.34742992617802876,0.5941297163249866,1.2706907027974805,0.028836781494613568,-0.7488822589412023,4,3,5,2,2017,2017-02-03,0.5684971431215233,0.9006711614591392
2017-02-06,DHI,29.49,29.49,-0.013382402141184468,0.017340244295960452,-0.008623186626557698,-0.7717539564481226,0.5060424259395867,0.3081930296830094,-0.4469544991284025,0.750645169959567,1.173084032754853,0.04457125705360444,-0.7210080968916791,0,6,6,2,2017,2017-02-06,0.6177048155546059,0.963377568693984
2017-02-07,DHI,29.42,29.42,-0.0023736859952525613,0.017062470493048484,0.058981118729776856,-0.1391173685088357,0.7209794598721088,0.1720777685447001,-0.43740605285291206,0.9339984783245531,1.075921681576714,0.05469883963524714,-0.6970550968447965,1,7,6,2,2017,2017-02-07,0.6638096595973891,0.9166171837465832
2017-02-08,DHI,29.89,29.89,0.01597552685248127,0.017006283221619255,0.028503109620435525,0.9393896740571959,0.8857294542625596,0.1311655289214082,-0.38635213060490486,0.9013879019289733,1.0584378180705365,0.09094005355776008,-0.6580018135731324,2,8,6,2,2017,2017-02-08,0.23932555475463552,0.8521864187687693
2017-02-09,DHI,30.12,30.12,0.0076948812311810055,0.016767058513048612,0.08731440968468818,0.4589285130240719,0.9107963880959861,0.6358648640672477,-0.3370326497901825,0.8674757202008803,1.0680409619781561,0.1362009608522187,-0.6117762044983619,3,9,6,2,2017,2017-02-09,0.2871422954805995,0.9221437978226672
2017-02-10,DHI,30.82,30.82,0.023240371845949515,0.01695353724911904,-0.04822439209552488,1.3708273090417848,0.9942702472766582,0.8850734399382363,-0.24852583890495938,1.21403713427413,1.1570013856607801,0.21317205045268597,-0.5404473976324589,4,10,6,2,2017,2017-02-10,0.3345598661531839,0.8597782497929591
2017-02-13,DHI,30.42,30.42,-0.01297858533419849,0.016889799562551593,-0.038008236352215126,-0.7684274337378681,0.7790788451971085,0.7860583726837191,-0.28537993846595944,0.9566917848491608,1.1759307479351004,0.2614288500078042,-0.49299946468822065,0,13,7,2,2017,2017-02-13,0.6207154309086932,0.8795055266579642
2017-02-14,DHI,30.11,30.11,-0.010190664036818009,0.016743652341029227,0.08121797047020475,-0.6086285016708363,0.7362429866097068,0.7653933623332898,-0.3851978694273504,0.8092364546018761,1.152490104234375,0.2907634359502128,-0.4625186455140332,1,14,7,2,2017,2017-02-14,0.6686428517695939,0.9180305865719424
2017-02-15,DHI,30.76,30.76,0.0215875124543341,0.01687072474519565,-0.040058399978838206,1.279584177940054,0.9914949061826603,0.7449167201967187,-0.2595397171630844,0.9067034299268839,1.1931098484684515,0.3451625814210231,-0.405149953664661,2,15,7,2,2017,2017-02-15,0.4781659427754023,0.8872320386645025
