date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,DIS,110.61,110.61,-0.006199460916442079,0.008041614056311208,-0.02195451285606599,-0.770922463205832,1.1588088879716671,3.08965441120302,1.6740172326320892,1.2737484548623166,1.1844468157060897,1.6043787100176736,1.6436280305284827,3,2,5,2,2017,2017-02-02,0.6197146426412546,0.8589896751397428
2017-02-03,DIS,110.3,110.3,-0.0028026399059759566,0.007956857308540555,-0.05239688964765958,-0.35222950435063366,0.7300436306032665,3.1681600883662497,1.7813308913077268,1.2336279611304302,1.1976089112254287,1.6417743141937942,1.7049210083165283,4,3,5,2,2017,2017-02-03,0.6675972560526215,0.8257863992655652
2017-02-06,DIS,109.57,109.57,-0.006618313689936595,0.007973667469824615,-0.041098389480736276,-0.8300212812965685,0.5581525943927026,2.7414432553207346,1.6019237930897394,1.3183933802250505,1.1820130256134735,1.6622959545537603,1.7542237348984118,0,6,6,2,2017,2017-02-06,0.7150104723349708,0.7829212825980734
2017-02-07,DIS,109.0,109.0,-0.0052021538742356155,0.007937171125965807,0.0,-0.6554166203141563,0.005045541712258605,2.841548441196768,1.55319534132531,1.4542949591562113,1.1638366982049224,1.6948714086904506,1.8206443944440396,1,7,6,2,2017,2017-02-07,0.7633481997785264,0.8360848128043272
2017-02-08,DIS,109.0,109.0,0.0,0.00781002028452149,0.0362591108314756,0.0,0.16502478226357106,2.4890127741655914,1.454902612084468,1.4572961523565582,1.1354661189697572,1.7097477016824627,1.868541959856493,2,8,6,2,2017,2017-02-08,0.8210445447865186,0.7391461187935899
2017-02-09,DIS,109.49,109.49,0.00449541284403665,0.0077015601086466755,-0.017182027133821203,0.5837015852138285,0.2901920265712884,2.6190000534222317,1.3747081943794905,1.9000861008640362,1.12740445771624,1.7350880964977606,1.9244191364172414,3,9,6,2,2017,2017-02-09,0.8725977877894253,0.8102733476193333
2017-02-10,DIS,109.26,109.26,-0.002100648461046628,0.007601182582735268,0.029581621499384977,-0.27635811114679404,-0.04721778483427137,2.5604789024337147,1.3773616172757468,1.7389693885500526,1.1150558457674487,1.7614502572134934,1.983654931022641,4,10,6,2,2017,2017-02-10,0.9088439106930677,0.8964171907336134
2017-02-13,DIS,109.65,109.65,0.003569467325645226,0.007486207867604529,0.052184091187906075,0.4768057992473832,0.5746913837371024,2.6034481529590514,1.574153917557799,1.7078625016448328,1.1166971217140693,1.7937702425768292,2.046846094996116,0,13,7,2,2017,2017-02-13,0.9999999999995933,0.9050114359274836
2017-02-14,DIS,110.33,110.33,0.006201550387596733,0.007412439402143423,-0.011554102461224514,0.8366409559858873,0.6184293473052902,2.201169284127616,1.6375485535913188,1.593397987271401,1.11824844608681,1.8002434607657014,2.0752359291128277,1,14,7,2,2017,2017-02-14,0.40525646458720777,0.8765768312727682
2017-02-15,DIS,110.18,110.18,-0.0013595576905646167,0.007308899357706384,0.041459193484649236,-0.18601401168988888,0.6111214721140242,2.158225447095087,1.6733248339754934,1.3248613535883975,1.1115253216226113,1.8049919874184175,2.103536727745441,2,15,7,2,2017,2017-02-15,0.27087124944858926,0.8229149322369914
2017-02-16,DIS,110.71,110.71,0.004810310401161644,0.0072129586729262766,-0.05127584093266413,0.666898372677091,0.7132641737776985,2.325942714085999,1.7646073098230135,1.4260581365110796,1.1218944902611303,1.819071159338649,2.1383667196539733,3,16,7,2,2017,2017-02-16,0.5948848776262152,0.7970389188236975
