date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,DUK,77.79,77.79,0.005558428128231707,0.009669951323329222,-0.01172410517762151,0.5748144889645651,0.017419217720302006,-0.12934310634346047,-0.796312625585156,-0.0638505572774895,0.35455679646949706,-0.4670584835926733,-1.3616346998598703,3,2,5,2,2017,2017-02-02,0.13782067758030775,0.9977674079171468
2017-02-03,DUK,77.65,77.65,-0.0017997171872990991,0.00951773668265272,-0.006818903918568452,-0.18909087814746037,0.0,-0.059397679886813354,-0.8334496659179386,-0.0783315947167494,0.3691857685778644,-0.43598798369080544,-1.3330550909563716,4,3,5,2,2017,2017-02-03,0.18807536206845604,0.9940111505473768
2017-02-06,DUK,77.57,77.57,-0.0010302640051514933,0.00936323522381786,0.015611783118926888,-0.11003290855395205,-0.05395559997197344,-0.0707464117265684,-0.7523089387376979,-0.12512503122937846,0.3718077975724478,-0.4106943299258891,-1.3080303254106804,0,6,6,2,2017,2017-02-06,0.23592332959262155,0.9845560736681328
2017-02-07,DUK,77.75,77.75,0.00232048472347568,0.009216220277675933,0.0782413782755611,0.2517826889507506,0.07944474829435423,0.08491945613859331,-0.7973529350638441,-0.12259551510564326,0.3885990897539451,-0.3761170800710448,-1.2705651968592169,1,7,6,2,2017,2017-02-07,0.2842879433272805,0.966430873806398
2017-02-08,DUK,78.64,78.64,0.011446945337620695,0.009283002498332197,-0.07679938885971066,1.2331080746425822,0.6134460648628393,-0.08404195998235071,-0.6897732472808551,-0.024932576334585337,0.4984868511127309,-0.3074473082536447,-1.2266964097285629,2,8,6,2,2017,2017-02-08,0.33205211818285546,0.962407345859831
2017-02-09,DUK,77.75,77.75,-0.011317395727365231,0.009379022486916236,0.030234987900559444,-1.2066711369071812,0.3801730730697989,-0.3204350165983522,-0.6847024762752224,-0.03181131645195634,0.5068936349034212,-0.29019643510354876,-1.2322473582594604,3,9,6,2,2017,2017-02-09,0.37875507237797107,0.9963722273022848
2017-02-10,DUK,78.1,78.1,0.004501607717041667,0.009255436652754434,0.05141665206692133,0.48637442899055233,0.30580111309122293,0.13376492091202563,-0.666469418174998,0.11520861326700294,0.5331081555313685,-0.24749691470523047,-1.185562180947494,4,10,6,2,2017,2017-02-10,0.4241123928775344,0.9917882426704712
2017-02-13,DUK,78.69,78.69,0.007554417413572434,0.009192793516249399,-0.056603858367093175,0.821776035784886,0.35205854598236763,0.6436802055356914,-0.5571523907635535,0.2202091806546367,0.611179568647026,-0.1801393771603296,-1.1205041613166131,0,13,7,2,2017,2017-02-13,0.47473779884296113,0.9957089517567757
2017-02-14,DUK,78.04,78.04,-0.008260261786758094,0.0091807054287368,-0.11078397940462216,-0.8997415123354685,0.2555164351004452,0.5106965415994298,-0.43016777141145274,0.1573961519774096,0.6076348131630895,-0.15020821338785195,-1.084239925818452,1,14,7,2,2017,2017-02-14,0.5206183377956102,0.9981385882802808
2017-02-15,DUK,76.78,76.78,-0.016145566376217335,0.00950183875562382,0.18305425425088306,-1.6992044162674633,-0.2016109501823644,0.4168036965421777,-0.4277077178231996,0.11239709621997952,0.47590494035777253,-0.18329268964668835,-1.0983223197793646,2,15,7,2,2017,2017-02-15,0.5679428242466623,0.9981852603086672
2017-02-16,DUK,78.9,78.9,0.027611357124251112,0.010595982786493454,-0.040688833761543704,2.6058325764219727,0.3720278408564694,0.4650841409409069,-0.28714998012289195,0.20984508610184496,0.574138033052133,-0.11116984815241017,-1.0275374138304731,3,16,7,2,2017,2017-02-16,0.0015911143861845492,0.968797724229606
2017-02-17,DUK,78.36,78.36,-0.006844106463878452,0.010508742180225513,0.055844116592305995,-0.6512774170782426,0.3338829789200014,0.7115212737262921,-0.45264824145334115,0.3063559504831632,0.6103767427760414,-0.07321601125077408,-1.0027403572839078,4,17,7,2,2017,2017-02-17,0.07885443933789898,0.9414923831026696
2017-02-21,DUK,79.09,79.09,0.009315977539561038,0.010456622451149299,0.05941297906663385,0.8909165060786055,0.4749671598366501,0.8514138325146281,-0.26712041212774723,0.3421081758369143,0.7141620570318874,-0.0033134163416774698,-0.9552475356330341,1,21,8,2,2017,2017-02-21,0.12815241475272085,0.8910017843829308
2017-02-22,DUK,79.87,79.87,0.009862182323934876,0.010413084512823372,0.07877165884392155,0.9470951966048026,0.7726261476028914,1.0307184703435377,-0.2110356530529405,0.40917698557926596,0.8782997241740588,0.09766620382953602,-0.8853736061762597,2,22,8,2,2017,2017-02-22,0.26709457045903157,0.8030130957570321
2017-02-23,DUK,80.91,80.91,0.013021159383998837,0.01046413458971255,0.07812382717308665,1.2443608472696956,1.0078388449921827,1.0482223013148242,-0.05644351893109802,0.4787083857198009,1.0838205433887915,0.2306533117165581,-0.7659493811514192,3,23,8,2,2017,2017-02-23,0.3215280611411065,0.7664652600377855
2017-02-24,DUK,81.96,81.96,0.0129773822766035,0.010497534667990048,-0.007321675255087174,1.236231428334808,1.316076550611326,1.3125833220271752,0.041620777047335106,0.43334202793910576,1.3198606252646243,0.38462189635950506,-0.6261846738522461,4,24,8,2,2017,2017-02-24,0.37625904846758235,0.7063842073910347
