date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,FCX,16.81,16.81,-0.0017814726840855721,0.03119063284069925,-0.1177426769196945,-0.05711563125968412,1.5383656609737704,2.050440175428494,1.0189233246038674,4.980408712871872,1.755239713666824,2.5654778603467356,3.2137344784926847,3,2,5,2,2017,2017-02-02,0.5274989545337138,0.7062406012063545
2017-02-03,FCX,15.83,15.83,-0.05829863176680539,0.03274872161914187,0.02065729181478841,-1.780180382147479,0.44931906873583033,1.8873332029693377,0.775026914448952,3.3998558582045755,1.757971097381637,2.6982604266840235,3.4315256490245303,4,3,5,2,2017,2017-02-03,0.5689180914290647,0.7276364695064383
2017-02-06,FCX,16.0,16.0,0.01073910296904601,0.0322338000631143,-0.05862859362984927,0.3331627964440641,0.6390142729668347,1.9196811955843758,0.8519578577222946,3.550745811385234,1.801021551412492,2.8665716946187896,3.688225886224566,0,6,6,2,2017,2017-02-06,0.47524951032920015,0.8122275533955959
2017-02-07,FCX,15.52,15.52,-0.030000000000000027,0.032273615637524206,0.0012576517232313167,-0.9295518772033503,0.28135079797560825,1.5791644110070397,0.725467137572153,3.79634224158707,1.778869638479857,3.019826922634142,3.9568133933552345,1,7,6,2,2017,2017-02-07,0.5230086480130913,0.7813156542828624
2017-02-08,FCX,15.53,15.53,0.0006443298969072142,0.031742015731425925,-0.017890472346359362,0.02029895966150948,0.39806016640473524,1.4906206639063686,0.7985688519570865,4.179492920321828,1.7726562897799953,3.196101573737659,4.255590495267592,2,8,6,2,2017,2017-02-08,0.33432280963875793,0.6312064452988173
2017-02-09,FCX,15.39,15.39,-0.009014810045073984,0.03128609894729572,0.05364059073284151,-0.2881410705841036,-0.07176761723840515,1.0991727416525767,0.7983415743826169,4.2089106069397015,1.7061993942346108,3.294257906414524,4.4599164760696075,3,9,6,2,2017,2017-02-09,0.4242151472448522,0.6421661592922523
2017-02-10,FCX,15.8,15.8,0.026640675763482724,0.03108149597419823,0.02052393883833648,0.8571233439213487,-0.03096774287367194,0.8466713636694727,0.8733634983770407,4.521824551475904,1.6692824930238572,3.3189458986743685,4.530556790810719,4,10,6,2,2017,2017-02-10,0.428994208423976,0.6517612917822546
2017-02-13,FCX,15.96,15.96,0.010126582278481067,0.030594758358354585,-0.0077405365477975566,0.33099075860868094,0.322294859630856,0.6445511128844248,1.0198834974216238,3.8833977915874187,1.6333985088076537,3.2933236945468285,4.51919673747423,0,13,7,2,2017,2017-02-13,0.4765889282139727,0.7005769769937994
2017-02-14,FCX,15.9,15.9,-0.003759398496240629,0.03011488077386681,-0.069726413449766,-0.1248352442259367,0.3386957751722035,0.5882228279549826,0.9066754006860428,3.12947905891492,1.582886393028523,3.25779564063724,4.4993996456676015,1,14,7,2,2017,2017-02-14,0.5242870346386843,0.7082869664965881
2017-02-15,FCX,15.37,15.37,-0.03333333333333344,0.030325990967053757,-0.04054451554765103,-1.0991671589412153,0.1481194440570929,0.4327563916440251,0.8000712964359705,2.3818524974731514,1.437516757109034,3.1903482145557334,4.4783038260765515,2,15,7,2,2017,2017-02-15,0.572832033274733,0.7175807608315887
2017-02-16,FCX,15.07,15.07,-0.01951854261548469,0.030068835570224862,-0.02224282012535693,-0.6491286491590178,-0.08095388524864154,0.3234589378415463,0.7579756370409457,2.3206105335401195,1.247437061689902,3.096577773165298,4.440961625607405,3,16,7,2,2017,2017-02-16,0.6318489784874008,0.7812375240421447
2017-02-17,FCX,14.91,14.91,-0.010617120106171218,0.029646241516692713,-0.11115961822311345,-0.35812701924434864,-0.1688240136497152,0.34182512031853335,0.6584964259239481,2.453413621345766,1.0525300947254477,3.0067833381135323,4.4165081472412835,4,17,7,2,2017,2017-02-17,0.6909632347817747,0.8555967130316622
2017-02-21,FCX,14.13,14.13,-0.0523138832997988,0.030670896405400955,-0.05814215036942133,-1.705652244666271,-0.633040028264754,0.09822863512955571,0.5241406694703765,1.6058011428951808,0.7120003773818638,2.8202901033258017,4.316489960057308,1,21,8,2,2017,2017-02-21,0.7437407892188769,0.8482433645528018
2017-02-22,FCX,13.73,13.73,-0.028308563340410542,0.030558687455756225,-0.037534834420495794,-0.9263671216702786,-0.9039745227606542,0.0,0.46821884261248903,1.847868930989618,0.3334713112948913,2.588874683923071,4.173184989380189,2,22,8,2,2017,2017-02-22,0.8101229114239847,0.9056745790054898
2017-02-23,FCX,13.48,13.48,-0.018208302986161717,0.030195221552990266,-0.03559585695887789,-0.6030193537148771,-1.5031275623333948,-0.2961838110807203,0.36941195656506276,1.8196533293113715,-0.036154123671965355,2.2995506858374903,3.9415625370281404,3,23,8,2,2017,2017-02-23,0.999996913228683,0.9631866999578784
2017-02-24,FCX,13.25,13.25,-0.017062314540059353,0.029811439217764593,0.003189560937340987,-0.5723411880729309,-1.4418059926317455,-0.5226808606148718,0.5852639280208978,1.8192704580982162,-0.3726647349718607,1.9996247187683889,3.6863972453802365,4,24,8,2,2017,2017-02-24,0.5326668366727545,0.8690212684246755
2017-02-27,FCX,13.27,13.27,0.0015094339622641062,0.02932955479095551,0.02104101511822821,0.0514646053451032,-1.2071544177148403,-0.7790916866317289,0.5970823098646024,1.6881782176356626,-0.6358520836276038,1.7580353931245458,3.5005820855098304,0,27,9,2,2017,2017-02-27,0.18955443728817437,0.7214572457588143
2017-02-28,FCX,13.4,13.4,0.009796533534287999,0.028933324356326954,0.09586246830262841,0.3385899737492749,-1.3683581613959888,-0.7075949990812659,0.7096794562022863,1.6464656294783362,-0.8186337897263242,1.555385351068842,3.34363262720508,1,28,9,2,2017,2017-02-28,0.42850623592029097,0.8223684524963651
2017-03-01,FCX,13.99,13.99,0.04402985074626864,0.02965105996088193,-0.10326441873044444,1.4849334494064081,-1.0235409045881834,-0.48198723258958936,0.8236423325690639,1.705633950193767,-0.8604957318782709,1.4396878127711463,3.2590826245431432,2,1,9,3,2017,2017-03-01,0.2624779085586382,0.914839449978494
2017-03-02,FCX,13.31,13.31,-0.04860614724803425,0.030394984271901387,-0.017128228036527717,-1.599150268123947,-1.440192876941325,-0.45963605656872725,0.7632759528723537,1.0027555932109338,-0.9949531684775368,1.2478274130608267,3.093292581733482,3,2,9,3,2017,2017-03-02,0.09385942980967227,0.8198553901830448
2017-03-03,FCX,13.2,13.2,-0.008264462809917439,0.029910856812716272,-0.04786501499598512,-0.27630311166492205,-1.576960427856932,-0.5899713900482373,0.8422935748844148,0.9455310755957774,-1.1100449461170911,1.0649575322273712,2.9335412556341165,4,3,9,3,2017,2017-03-03,0.14122047079980996,0.7480332105506163
2017-03-06,FCX,12.9,12.9,-0.022727272727272596,0.029637095667286492,-0.03460140007647718,-0.7668522240645538,-1.7126308174764722,-0.6024412571056974,0.7405918288384797,0.6895919980040608,-1.23150212780989,0.8686886916574201,2.752426490450771,0,6,10,3,2017,2017-03-06,0.1814741683764768,0.6867030399459666
2017-03-07,FCX,12.69,12.69,-0.016279069767441978,0.02924044260727377,-0.04244183708919289,-0.5567313048603595,-1.4803184215535432,-0.7628234871942257,0.642483200477383,0.6183371045975884,-1.3432898422333572,0.676358715226514,2.5716244941227475,1,7,10,3,2017,2017-03-07,0.9636236678293738,0.6828661376363439
2017-03-08,FCX,12.44,12.44,-0.01970055161544526,0.028900094349331114,-0.007008742106594448,-0.681677761231988,-1.680045746239305,-0.9422098887671797,0.4945943243927735,0.9514246011166723,-1.4528349376761278,0.48753222947022484,2.395394873236515,2,8,10,3,2017,2017-03-08,0.2639558829398149,0.7569322165313473
2017-03-09,FCX,12.4,12.4,-0.003215434083601254,0.028422937213504786,-0.005362043630269131,-0.11312814222709829,-1.5434205344374266,-0.9735590524166745,0.532246006512082,0.787214420035826,-1.5301809714687213,0.319943989245793,2.2363839184428804,3,9,10,3,2017,2017-03-09,0.41963208503772587,0.7792954891333117
2017-03-10,FCX,12.37,12.37,-0.0024193548387098085,0.027954910793512203,0.034611906369094954,-0.08654489569221928,-1.5883560763989395,-0.8937727613768385,0.5251340131766586,0.6502047755188518,-1.5738789945199756,0.17048626880545062,2.0823133488225576,4,10,10,3,2017,2017-03-10,0.46956731774689636,0.7968515807737232
