date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,FDP,57.87,57.87,0.011182946007338712,0.017511700362740627,0.055944891915896945,0.6385985241691602,-0.6799643168347617,-0.8244630220605664,-0.1666569687649963,1.6596433629295657,-1.341586401257806,-0.19241911528581623,0.8291509459489216,3,2,5,2,2017,2017-02-02,0.4111036036678878,0.5382722710094541
2017-02-03,FDP,58.77,58.77,0.015552099533437058,0.017479212367569344,-0.007971967733859848,0.8897483025203229,-0.5986375127229921,-0.6484641301205347,-0.11278985476949546,1.7500439380960966,-1.263572759321608,-0.20852540927692462,0.8191939287160906,4,3,5,2,2017,2017-02-03,0.47576605846191183,0.5544464290308975
2017-02-06,FDP,58.64,58.64,-0.0022120129317679815,0.01719289589361665,0.043112759879398874,-0.12865854277575509,-0.6645627955524547,-0.43603177982667474,-0.14848774819941965,1.707405251488142,-1.1869222064916154,-0.22378875884906563,0.7976972936398021,0,6,6,2,2017,2017-02-06,0.6190920323642045,0.5664781506705621
2017-02-07,FDP,59.33,59.33,0.01176671214188274,0.017053592759439604,-0.037356032438636215,0.6899843515595598,-0.17234395694680227,-0.17743306304178616,-0.04105778475381018,1.720103947480806,-1.0646132531183652,-0.21951433712728696,0.7832998937200308,1,7,6,2,2017,2017-02-07,0.3337955612056288,0.713752073446217
2017-02-08,FDP,58.73,58.73,-0.010112927692566998,0.01686623339187188,0.007631376302283267,-0.5995960957969778,-0.35772704860079757,-0.48744813888153526,-0.15198681054688296,1.7433992565884497,-1.0053856795376066,-0.231245628022064,0.7659734810866152,2,8,6,2,2017,2017-02-08,0.3084742841739847,0.662339127870371
2017-02-09,FDP,58.85,58.85,0.0020432487655372977,0.01659372864686553,0.005805662533877025,0.12313379403870492,-0.43223087078548444,-0.4559632940589095,-0.10640867156133363,1.692925964552069,-0.9413239864657682,-0.238481725453769,0.7501826368521103,3,9,6,2,2017,2017-02-09,0.34683480932209915,0.7491499350680059
2017-02-10,FDP,58.94,58.94,0.0015293118096855185,0.016323175015470853,-0.04976208322787815,0.0936896043959622,-0.497882930673808,-0.3248911917301136,-0.07128282354409997,1.8558973594794652,-0.8740301855873269,-0.2417815493550472,0.7336531518590059,4,10,6,2,2017,2017-02-10,0.11861418487185948,0.928454214847543
2017-02-13,FDP,58.18,58.18,-0.012894468951476057,0.016210391506407806,0.004007594382827668,-0.7954446347812761,-0.5226296409666178,-0.38714334783517573,-0.18705194199678785,1.750699937819429,-0.8657520812895253,-0.2626612862425152,0.7084495370210215,0,13,7,2,2017,2017-02-13,0.28526045339271444,0.8564902236667862
2017-02-14,FDP,58.24,58.24,0.001031282227569541,0.01594569223978413,0.0793635063935669,0.06467466021929834,-0.8733277906930188,-0.5760416603296095,-0.17560705110758398,1.7799564193593924,-0.8532922749297636,-0.28100492517263204,0.6886983992892517,1,14,7,2,2017,2017-02-14,0.4393926609730763,0.9420417805696488
2017-02-15,FDP,59.41,59.41,0.020089285714285587,0.016120874170341207,-0.021705286812421048,1.2461660268551298,-0.32033447001167664,-0.44183227979772977,-0.005575443911026724,1.7921468913796563,-0.7576126372629604,-0.26941156251267473,0.683389035227475,2,15,7,2,2017,2017-02-15,0.6193970270965083,0.7639648289489422
