date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,GPC,96.62,96.62,0.002906373261366113,0.011058959332462601,0.030656444120543292,0.2628071208142262,0.20427589898671766,0.9753947842551148,-0.3286877014628471,0.8682905067171546,0.11220185406564241,0.10843004996839586,-0.020469382598825234,3,2,5,2,2017,2017-02-02,0.5765412512443285,0.7810007188673077
2017-02-03,GPC,97.14,97.14,0.005381908507555266,0.01091979205355358,0.00415705051894348,0.49285814978535747,0.0041152602606352034,1.13497390336275,-0.29622445735811426,0.7449883776635603,0.11385761376874937,0.11310408783267654,-0.018850302644485506,4,3,5,2,2017,2017-02-03,0.6562254244624979,0.7299414487055558
2017-02-06,GPC,97.21,97.21,0.0007206094296889898,0.010739793767716402,-0.014481184485547633,0.06709713848092007,0.1135001543198616,1.2410190609442484,-0.3662217838031155,0.857587435818173,0.12412381760196563,0.12355251181298552,-0.01626974257272255,0,6,6,2,2017,2017-02-06,0.6729195176630804,0.8082083465932992
2017-02-07,GPC,96.97,96.97,-0.0024688818022836623,0.010572692820077903,0.12718827145120395,-0.23351494688232802,0.1738582494580655,1.264084345152417,-0.3728898791959911,0.8175300292885566,0.11780778561001025,0.12958156132674442,-0.018365160316343172,1,7,6,2,2017,2017-02-07,0.37419975517647924,0.995115485419014
2017-02-08,GPC,99.04,99.04,0.021346808291224262,0.011078288588409086,0.03617070495483549,1.9269048753215232,0.6131849647863122,1.3357556848946766,-0.13648757219876131,0.8326339344628764,0.3203937275899828,0.23125448561365888,0.025182441723698754,2,8,6,2,2017,2017-02-08,0.5247017525808341,0.8801186585842679
2017-02-09,GPC,99.67,99.67,0.006361066235864188,0.01094148429238162,0.0063540659083572105,0.5813714177968794,0.4899913918596374,1.4226283497774732,-0.12388986571253638,0.8981270033535508,0.6336566984812824,0.39699757958239207,0.09771277611643962,3,9,6,2,2017,2017-02-09,0.580178237039341,0.9257483136842216
2017-02-10,GPC,99.78,99.78,0.0011036420186616436,0.010760641486786932,0.006453729417000664,0.10256284627796712,0.47848078942406524,1.2463860085469987,-0.18018945342365983,0.9034469140114355,0.9965919227362572,0.600862116898914,0.19254950925408726,4,10,6,2,2017,2017-02-10,0.6202017433811096,0.9461806632738816
2017-02-13,GPC,99.89,99.89,0.001102425335738566,0.010582786445529145,-0.013705835659805312,0.10417155646226821,0.3783886411146576,0.8136149876521803,-0.13352867170490879,0.8150309962695945,1.2628133335442402,0.7589485430056807,0.28033839586743114,0,13,7,2,2017,2017-02-13,0.6689478050801447,0.9740969768196356
2017-02-14,GPC,99.66,99.66,-0.002302532786064737,0.010424252577341562,0.027892776875592717,-0.22088229050297425,0.23148729938897644,0.6437724574657636,-0.23841152041899696,0.6777419819552912,1.4321493606299371,0.8789285092114277,0.35481102898245037,1,14,7,2,2017,2017-02-14,0.7174732777648677,0.985383573313578
2017-02-15,GPC,100.12,100.12,0.004615693357415296,0.01027424049418463,-0.05450284442434709,0.44924910605585355,0.5573253520764402,0.5063154923323145,-0.16398695440350666,0.6879111797382496,1.5798757854672187,0.9862280817584529,0.4272294166321263,2,15,7,2,2017,2017-02-15,0.7654638397654449,0.9934488285254248
2017-02-16,GPC,99.23,99.23,-0.008889332800639194,0.010258372722611158,0.08911293667877754,-0.8665441431120579,-0.012854571902843216,0.402651026139974,-0.2762309645617519,0.5708548375065801,1.5927882567727405,1.0413419514516942,0.4753690258091688,3,16,7,2,2017,2017-02-16,0.8120262975942839,0.9940482736996809
2017-02-17,GPC,100.67,100.67,0.01451174040108838,0.010391497044930918,-0.18065200967710915,1.3965014221090848,0.33053644847567293,0.6764606549310611,-0.22311891448936536,0.5662417913981146,1.7608225174677612,1.1620433940704353,0.5559248078589107,4,17,7,2,2017,2017-02-17,0.8616694743165019,0.9846904547329416
2017-02-21,GPC,97.67,97.67,-0.029800337737161064,0.011629331135477431,-0.09317364523781252,-2.5625151945540194,-0.3894364497186633,0.35157843408660205,-0.45240053681046233,0.30956649369643696,1.5766960125030522,1.147224612529867,0.5740346935901078,1,21,8,2,2017,2017-02-21,0.9066331144571778,0.9170959061010406
2017-02-22,GPC,95.99,95.99,-0.017200778130439298,0.011851061889501423,-0.05482159493491547,-1.4514123958526504,-0.04973999030558103,0.16190990503310496,-0.5095680281086121,0.2456417864385864,1.1595719224720389,1.0123595346461502,0.5339860987727767,2,22,8,2,2017,2017-02-22,0.9586659659958036,0.9319017902871968
2017-02-23,GPC,95.0,95.0,-0.01031357433065938,0.0117882263569095,0.07031333071304098,-0.8749046733917037,-0.3667158737263744,-0.10692081302258143,-0.6559872716785558,0.23244178395646883,0.6080300311622453,0.7723029268907353,0.43713005436197255,3,23,8,2,2017,2017-02-23,0.5073031618591562,0.9855637513704388
2017-02-24,GPC,96.25,96.25,0.013157894736842035,0.011861276277462678,-0.003862474361491545,1.1093152565582702,-0.29342713302202283,-0.10056663717787526,-0.5889797241202732,0.2532029154466542,0.33502355948326423,0.645898235257821,0.3905159718525286,4,24,8,2,2017,2017-02-24,0.22144771867091895,0.9868361641526054
2017-02-27,GPC,96.18,96.18,-0.0007272727272726875,0.011665398818583556,-0.026388410033051386,-0.062344437475562876,-0.18486891630950567,-0.1254154685720789,-0.5857593794902767,0.2911285362545094,0.09728242713933132,0.5252017475761698,0.3436128341873404,0,27,9,2,2017,2017-02-27,0.2822967578207733,0.982620234022774
2017-02-28,GPC,95.71,95.71,-0.004886670825535622,0.011501376237718996,0.04921427074397464,-0.4248770516270641,-0.18841698783477848,-0.24504245665638186,-0.5705125156397728,0.3377994822860605,-0.16328883032364097,0.38268043104693156,0.2828010864105712,1,28,9,2,2017,2017-02-28,0.33315467699025836,0.9696858807140656
2017-03-01,GPC,96.57,96.57,0.008985476961655081,0.01143891040281256,-0.03991819357869735,0.7855186066887773,-0.10021808567022379,-0.05447418791107862,-0.6314053709777893,0.20955368985101325,-0.2608177870372012,0.3123158795647339,0.25497033449662376,2,1,9,3,2017,2017-03-01,0.3781693290591514,0.955086339558958
2017-03-02,GPC,95.87,95.87,-0.007248627938282959,0.01132094384710136,-0.06790788862842571,-0.6402847709680067,-0.18716099693585786,-0.07837972287170315,-0.5941759877988794,0.13860396328405253,-0.43385142747495553,0.20239591593766612,0.20593074596880437,3,2,9,3,2017,2017-03-02,0.4263514542822513,0.9090389568530296
