date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,GWW,252.07001,252.07001,-0.006346499777140524,0.011240369217911978,-0.010449507739655117,-0.5646166646400834,1.4590349297450869,2.58637682367975,1.266059751088068,1.543053745276153,1.7278806654646415,2.111228707770617,1.9830593758040946,3,2,5,2,2017,2017-02-02,0.35553731874049566,0.7680621315494112
2017-02-03,GWW,251.60001,251.60001,-0.001864561357378447,0.011078950515397035,0.041808042498796806,-0.16829765191090637,1.2726594203726296,2.684438620907633,1.224064111526277,1.1760223123174527,1.7528371087354941,2.2039872699943404,2.107167078821184,4,3,5,2,2017,2017-02-03,0.4096564235170122,0.8374830956152816
2017-02-06,GWW,253.45,253.45,0.007352901138596879,0.010936653029611451,-0.0013635599923663942,0.6723173093896815,1.8203826061717148,2.7882161280054722,1.1956370594860033,1.2481498569556975,1.8044618606327054,2.3125408636037434,2.2450998602369183,0,6,6,2,2017,2017-02-06,0.461155260855928,0.8198250263904705
2017-02-07,GWW,253.39,253.39,-0.00023673308344840382,0.010765238859765233,0.023786131327944052,-0.021990509131496083,1.91673224244696,2.7449154710161583,1.2266164320749595,1.198312904939956,1.852866916317086,2.4238864288298974,2.3913232959013064,1,7,6,2,2017,2017-02-07,0.496352411648171,0.8012067449957638
2017-02-08,GWW,254.42,254.42,0.004064880224160294,0.010592656157405277,-0.033191887558693914,0.3837451309432484,2.152648653930975,2.522712072234958,1.334871585077781,1.2651355992826114,1.8868422400908742,2.5079983520970415,2.5115659929297136,2,8,6,2,2017,2017-02-08,0.5432282408505423,0.8469007415952985
2017-02-09,GWW,253.0,253.0,-0.005581322223095597,0.010511950591108985,0.04879362879168588,-0.5309501956579099,2.0046427384876107,2.348323475108988,1.2800938530835617,1.4364893861434969,1.8929574035607202,2.580143577874861,2.6296011203404133,3,9,6,2,2017,2017-02-09,0.4287182362892029,0.8452733977640601
2017-02-10,GWW,255.06,255.06,0.008142292490118663,0.010397060067424498,-0.017103276533127983,0.7831341203490447,1.6998887705623438,1.9145333054914393,0.9592761465254455,1.5027762501062443,1.8768885061072689,2.593526815583836,2.6816117739986183,4,10,6,2,2017,2017-02-10,0.4800877699185626,0.9199586114098588
2017-02-13,GWW,254.34,254.34,-0.0028228652081863093,0.010264749053576173,-0.01423602486341905,-0.27500576910867985,1.63364293674847,1.4631420838293365,0.9616305989288855,1.2573895453277502,1.8212910134227107,2.5668285466094507,2.6962995292923106,0,13,7,2,2017,2017-02-13,0.530581524903987,0.8403215727486572
2017-02-14,GWW,253.75,253.75,-0.0023197294959502734,0.01012518728170285,-0.014220622483544281,-0.2291048482769538,1.5212417461145238,1.4920889918269642,0.8669429749378558,1.1566675634340258,1.7604442727943321,2.541270365412635,2.714584773674963,1,14,7,2,2017,2017-02-14,0.3336674938345733,0.8737723144983408
2017-02-15,GWW,253.17,253.17,-0.0022857142857143353,0.00998591974755004,0.040615052683224975,-0.22889371670297226,1.134031406836278,1.683189733926836,0.8562101446037376,1.0732490254267226,1.7055065557939955,2.5306735398629683,2.751098150840062,2,15,7,2,2017,2017-02-15,0.3836306258359758,0.8969546399565089
2017-02-16,GWW,254.8,254.8,0.006438361575226148,0.0098569054987616,0.004013348175390822,0.6531828448629288,0.9222522769941434,1.7646291177228686,0.9363732451048472,1.1532259706740624,1.6743007509097152,2.5255314652071252,2.7860073362429283,3,16,7,2,2017,2017-02-16,0.4305264841092991,0.924554295989798
2017-02-17,GWW,254.96001,254.96001,0.0006279827315540665,0.00969665268798445,0.08153694638793296,0.0647628363891209,0.9944845859799237,1.7497414482852047,0.9389169012914408,1.1269492982915033,1.6420045004035106,2.5176747512431814,2.817586025939902,4,17,7,2,2017,2017-02-17,0.47856960647008845,0.948505852831697
2017-02-21,GWW,258.16,258.16,0.01255094867622586,0.00972772999384517,-0.018311675298881336,1.2902237915903265,1.0639697755844741,2.2354419555582794,1.0599563371386618,1.1049808787329802,1.671154425414365,2.551717016195829,2.881896417957559,1,21,8,2,2017,2017-02-21,0.5249649777915544,0.8848429789687733
2017-02-22,GWW,257.42999,257.42999,-0.0028277424852806154,0.009609599946428408,-0.19072890680767912,-0.2942622482772137,1.071538496330511,2.398378264560737,1.0714500354946437,1.1892249866663953,1.6994953945969515,2.6082759230939585,2.9779858571861277,2,22,8,2,2017,2017-02-22,0.6966428771813552,0.979221042371164
2017-02-23,GWW,249.94,249.94,-0.02909525032417548,0.010981395484039938,0.0068856059077085875,-2.649503914731213,0.06781026681233811,1.4352071780600608,0.6727648982154272,0.9022862011968271,1.5939529010722606,2.5983802560863123,3.0373252582717893,3,23,8,2,2017,2017-02-23,0.0006505899594155077,0.9903431674493164
2017-02-24,GWW,250.24001,250.24001,0.0012003280787389325,0.010799905642202134,0.005360829230855644,0.111142459805249,-0.2291086420403121,1.3051707967708084,0.685502890420438,0.8780097020989591,1.4948438723606905,2.575701305520326,3.077738737769471,4,24,8,2,2017,2017-02-24,0.15132274883402866,0.9825806611637492
2017-02-27,GWW,250.47,250.47,0.0009190776486940333,0.010621388429526504,-0.05943396628349262,0.08653083867445052,-0.47046875094696233,1.3650877150660041,0.7097050259983806,0.8849364864344123,1.4143787962621859,2.564508523814465,3.1281141716882495,0,27,9,2,2017,2017-02-27,0.215237118954503,0.9849185574798736
2017-02-28,GWW,247.96001,247.96001,-0.010021120293847496,0.010632529573928342,0.09915817734419587,-0.9424963480393168,-0.6748080093220261,1.1646203939625837,0.5509955850381718,0.8484091218912544,1.2971140236070169,2.5341939495571775,3.1679300163579787,1,28,9,2,2017,2017-02-28,0.2812622329003081,0.9924194647750868
2017-03-01,GWW,252.11,252.11,0.016736529410528833,0.01084783831303529,-0.08983176800438733,1.5428446596975367,-0.20143113270896004,1.4814386366877086,0.6080687678397355,0.7380850419517888,1.2780051988207084,2.5594628764400915,3.247517140556778,2,1,9,3,2017,2017-03-01,0.312140388229682,0.996243952679188
2017-03-02,GWW,248.21001,248.21001,-0.015469398278529223,0.011080106972118626,0.03802261272038666,-1.3961416002079734,-0.3399782289489534,1.0981341855447317,0.4704359910722998,0.7112787288968396,1.1809764250853694,2.5409599003040735,3.2969858280309294,3,2,9,3,2017,2017-03-02,0.34928878372162825,0.9962204386071476
2017-03-03,GWW,249.87,249.87,0.006687844700542067,0.010950855380978581,0.056172971143436896,0.6107143659443006,-0.29928154205006546,0.963021420450609,0.6775194401396978,0.7306323218156883,1.113020144357696,2.5091214203437517,3.313902687846374,4,3,9,3,2017,2017-03-03,0.39422238846117896,0.9977408347628024
2017-03-06,GWW,252.31,252.31,0.009765077840476977,0.010888375144662957,-0.03943943070561686,0.8968351761156415,0.019080917081075555,0.696742624306518,0.8478177255756026,0.7910801199521825,1.081268064219686,2.459687443702119,3.2866508029393193,0,6,10,3,2017,2017-03-06,0.44300337682654095,0.9969744129912698
2017-03-07,GWW,250.59,250.59,-0.006817010820022951,0.010803186536042725,-0.01023874354574418,-0.6310185237734555,-0.08108742276748038,0.6927075314017589,0.7300332069579061,0.6837445483731605,1.0200888548977758,2.4064432963322226,3.265505246980247,1,7,10,3,2017,2017-03-07,0.49458676816618596,0.9964458485059036
2017-03-08,GWW,250.14999,250.14999,-0.0017558960852388505,0.010635094476295237,-0.14515020499066403,-0.1651039479858501,-0.2671603235200694,0.7476401346100765,0.7176603945858487,0.6682372152046033,0.958381908100644,2.358830579366378,3.2524823610857183,2,8,10,3,2017,2017-03-08,0.5689059245641948,0.991000188837921
2017-03-09,GWW,244.02,244.02,-0.024505257825514937,0.011403047505832598,0.02580823024287762,-2.1490095356509413,-0.7076516740296683,0.36047991295417114,0.5617914210832015,0.6328214833519354,0.7786499516313441,2.2547651407990985,3.207526615145238,3,9,10,3,2017,2017-03-09,0.6486272311945873,0.9877939981336634
2017-03-10,GWW,245.16,245.16,0.004671748217359273,0.011246437712399629,0.02718853114549372,0.415398043080654,-0.7062120258537093,0.3808181804757728,0.541253804806128,0.6995776425533671,0.6451122529551394,2.1669966747456377,3.1682319315472602,4,10,10,3,2017,2017-03-10,0.365709834075117,0.6248312021019268
2017-03-13,GWW,246.35001,246.35001,0.004854013705335225,0.011093241070319499,-0.04195294654646299,0.43756497082916307,-0.5170497980296543,0.34975935656617885,0.8628234683040179,0.7600393290821252,0.5518400653960913,2.0908826163358425,3.1288845378936267,0,13,11,3,2017,2017-03-13,0.412099751125817,0.5768879661705623
