date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,INTC,36.68,36.68,0.004381161007666945,0.010671643272359456,-0.025748924029135756,0.41054230317223567,0.04469592759784048,0.7387226072275552,0.5922828068101401,1.4767411628904963,0.8932096488428426,1.3832589998110643,2.016344953889382,3,2,5,2,2017,2017-02-02,0.45695220214929655,0.969524823360022
2017-02-03,INTC,36.52,36.52,-0.004362050163576825,0.010528977950114217,-0.04095649217047354,-0.41428998942195583,0.06261467672223377,0.664000855631471,0.47468472016752233,1.3565582646883942,0.7875111313714981,1.353767477797493,2.0250226146493686,4,3,5,2,2017,2017-02-03,0.6455546676888287,0.9329046386880128
2017-02-06,INTC,36.27,36.27,-0.006845564074479782,0.010431393930501616,0.013319864738078203,-0.6562463387048598,-0.046039815868790614,0.8329508518105049,0.31495048844372614,1.5034848923821316,0.6641649487288378,1.33010771544656,2.0628254918753757,0,6,6,2,2017,2017-02-06,0.8281141829838035,0.94363164998391
2017-02-07,INTC,36.35,36.35,0.0022056796250344846,0.010266974735410023,0.0050637712162312784,0.21483247810353148,-0.07574193255644476,1.0003898628691084,0.32439894435063615,1.6030912217632067,0.5757743479475229,1.333460740561538,2.1344262384437727,1,7,6,2,2017,2017-02-07,0.6013724829519257,0.9283563301598332
2017-02-08,INTC,36.38,36.38,0.0008253094910590786,0.010098281308206768,-0.1577529166502139,0.08172771839781866,-0.13575973922194795,0.6078055555461296,0.36884668406973337,1.6390978708160027,0.48617122815572433,1.3025047381667572,2.147244651319631,2,8,6,2,2017,2017-02-08,0.4110098540492385,0.5093783056506332
2017-02-09,INTC,35.46,35.46,-0.02528862012094557,0.010923905145801584,-0.019514809851788273,-2.314979833989571,-0.5904289512867797,0.2390311424333084,0.2196459385679323,1.4768936673751905,0.2330717997623941,1.1861414252925688,2.116806197992645,3,9,6,2,2017,2017-02-09,0.4585560070605029,0.5661521904230402
2017-02-10,INTC,35.34,35.34,-0.0033840947546530664,0.010753447918374449,0.07625060257477849,-0.3146985767114428,-0.8842072058799708,0.19892033957406396,0.15766374498047206,1.4780018503950443,-0.009762432437344233,1.063536349896216,2.0801259066772473,4,10,6,2,2017,2017-02-10,0.5068484043401046,0.5220188965315371
2017-02-13,INTC,35.8,35.8,0.013016411997736066,0.0108657544688771,0.021052329954470168,1.197929884668305,-0.4978373466505404,0.43691212311304584,0.2917162164815229,1.4493719468653967,-0.1320432442461185,1.0017958349726206,2.0873909952337777,0,13,7,2,2017,2017-02-13,0.5547281003225674,0.5507273153253766
2017-02-14,INTC,35.93,35.93,0.0036312849162012384,0.01071080619909338,0.019642718697467358,0.3390300271242523,-0.4762520463672633,0.448621306605045,0.24302048827672187,1.4611433321809681,-0.21351022978727935,0.9540317209466589,2.0987573861461506,1,14,7,2,2017,2017-02-14,0.18669190833136082,0.7352786070710153
2017-02-15,INTC,36.05,36.05,0.0033398274422486995,0.01055380742895815,0.05960570043558116,0.31645711414865185,-0.4214000975752247,0.5435668400527233,0.20138115293070852,1.3327120418715555,-0.2616232533365052,0.9254474374890033,2.1284290224074813,2,15,7,2,2017,2017-02-15,0.3619668861833785,0.6616930219562548
