date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,KO,41.4,41.4,0.0033931168201648543,0.007429681684319021,0.028671949088580707,0.4566974689274128,-0.28106311476975415,-0.2898702545219049,-0.6154712863041831,-0.26198245615849236,-0.19612210590343032,-1.2997218427936033,-2.2586821242989976,3,2,5,2,2017,2017-02-02,0.380235467619763,0.6584156544983739
2017-02-03,KO,41.54,41.54,0.0033816425120773985,0.007333830341599261,0.0041355414128341214,0.4611018191811588,-0.07858455045764828,-0.20835457561817788,-0.549997874821276,-0.19994414106068067,-0.16005611405240824,-1.2774757237967662,-2.252775053397579,4,3,5,2,2017,2017-02-03,0.7050654663140176,0.683893298415605
2017-02-06,KO,41.56,41.56,0.000481463649494529,0.007213112642710229,0.07144640702745643,0.06674838912728051,-0.13767806685653602,-0.19531944377947494,-0.5453856495367034,-0.18108576502008164,-0.12051815723325635,-1.2528650845330034,-2.24500804701016,0,6,6,2,2017,2017-02-06,0.7723447824208891,0.6854285459760069
2017-02-07,KO,41.9,41.9,0.008180943214629366,0.007243944010934876,0.02490530517752856,1.1293493161018462,0.11547362659739922,0.08760765181780912,-0.4359839951584995,-0.15292090957479346,0.04852221152128095,-1.161558865572898,-2.179490196275176,1,7,6,2,2017,2017-02-07,0.8313948990647785,0.6738422324390999
2017-02-08,KO,42.02,42.02,0.0028639618138426304,0.007139277283444991,-0.16168888151059047,0.40115570528178907,0.5178140497474109,-0.18287239892537369,-0.41623523346157865,-0.260836012878317,0.24285655197109554,-1.0960344970286244,-2.179762824786102,2,8,6,2,2017,2017-02-08,0.3341451194474289,0.8112219945866975
2017-02-09,KO,41.25,41.25,-0.01832460732984298,0.007782314605652656,-0.1314745811552668,-2.3546474613777457,0.14348070824975614,-0.6153947253304777,-0.6194865195200568,-0.2473060460722643,0.10294371071305743,-1.2151892696558442,-2.364055999332408,3,9,6,2,2017,2017-02-09,0.00013649805228442888,0.961207099961494
2017-02-10,KO,40.58,40.58,-0.01624242424242428,0.008174963330926243,0.007595596136983978,-1.986849797965268,-0.30562525288563247,-0.616166905835853,-0.7896054168286957,-0.3325038923408776,-0.3322148353690824,-1.340575656837169,-2.403118891826201,4,10,6,2,2017,2017-02-10,0.40788696516175094,0.8070909182785838
2017-02-13,KO,40.62,40.62,0.0009857072449481752,0.008046011309272526,-0.01734689226716474,0.12250880679377234,-0.218559529833327,-0.12239149131277262,-0.8575111628984109,-0.4522102636902268,-0.6680804814527825,-1.413705575302058,-2.3767413933448323,0,13,7,2,2017,2017-02-13,0.45322871817098875,0.7664616665022675
2017-02-14,KO,40.53,40.53,-0.0022156573116690614,0.007917590764959811,-0.017667397672395623,-0.279839837324594,-0.23596873218411554,-0.19391221265257105,-0.9435837826319456,-0.5192826840620861,-0.9667426079353753,-1.475663890629794,-2.3357994620619444,1,14,7,2,2017,2017-02-14,0.5064856503697738,0.7030033355467302
2017-02-15,KO,40.44,40.44,-0.0022205773501111636,0.007791096701868323,0.15195100617415397,-0.28501473349427997,-0.5300030552080803,-0.286729992679162,-0.8843910934277643,-0.5670372197943979,-1.2247560347125794,-1.5256341810525222,-2.282676826083238,2,15,7,2,2017,2017-02-15,0.5611444184406874,0.6853374309260378
2017-02-16,KO,41.2,41.2,0.018793273986152492,0.008432464850382355,0.005439628352281337,2.228680975207426,-0.05640705678386524,-0.08652999541081481,-0.6857751253350677,-0.41283465440248857,-1.1455207949569552,-1.5047203886797227,-2.259568368347824,3,16,7,2,2017,2017-02-16,0.3376755279858881,0.9515349824853352
2017-02-17,KO,41.23,41.23,0.0007281553398057472,0.00829462694994468,0.04236599126918791,0.08778638800755272,0.05755349691955581,-0.011043961853961885,-0.6989742491914883,-0.4407172415961591,-1.0611151791255662,-1.4794300132108305,-2.2350699552431563,4,17,7,2,2017,2017-02-17,0.39640413166914473,0.9109886170062872
2017-02-21,KO,41.46,41.46,0.005578462284744123,0.008221872565911625,0.025871864399955338,0.6784904825541521,0.08992642619487005,0.12670238650901047,-0.606899475149176,-0.43243478039776706,-0.8909658929287531,-1.4240858255060613,-2.2016479566344658,1,21,8,2,2017,2017-02-21,0.4472624870623629,0.8864629283160839
