date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,LEN,44.06403986905674,44.06403986905674,-0.0017821341055913598,0.015715106925987467,0.004428051306906585,-0.11340260769363988,0.6114699277725657,0.6897814555362987,-0.11526147565468972,0.4419684239961926,1.2587805258446811,0.7428242992991134,-0.37153108073903773,3,2,5,2,2017,2017-02-02,0.4821164317587782,0.9612233291841134
2017-02-03,LEN,44.38854629969251,44.38854629969251,0.007364427583128608,0.01550106899016274,-0.004996541614099901,0.4750915945088824,0.37130557297888694,0.8513604729053479,-0.08405578128253262,0.46335154909037507,1.2603439296759933,0.7911949978556829,-0.33740509880643105,4,3,5,2,2017,2017-02-03,0.5281843912177605,0.9528502942575696
2017-02-06,LEN,44.02470575625241,44.02470575625241,-0.008196721311475308,0.015333133001851556,-0.002064734671014801,-0.5345757654672082,0.11213700173081906,0.8105825730001439,-0.25201942099431224,0.5445945607552939,1.2205317186704812,0.8203508534474884,-0.3196182103299886,0,6,6,2,2017,2017-02-06,0.5794707510708533,0.9800550808865812
2017-02-07,LEN,43.87720283323615,43.87720283323615,-0.0033504578959124842,0.015096788063284848,0.007995612166405784,-0.22193183622023185,0.3076852648528962,0.6490836917622286,-0.2531558080544228,0.6708420346331032,1.1494349853449033,0.8288629294942357,-0.3034381240605141,1,7,6,2,2017,2017-02-07,0.6165825775080213,0.9946740648778858
2017-02-08,LEN,44.437713940697925,44.437713940697925,0.012774540564769232,0.01500936146621428,0.0,0.8511048650220346,0.5474996231929353,0.6504627687235551,-0.20786061168862624,0.7395521790822087,1.151551715141565,0.8661632615352246,-0.26232630859653633,2,8,6,2,2017,2017-02-08,0.27141473894744095,0.9301048413678726
2017-02-09,LEN,44.437713940697925,44.437713940697925,0.0,0.014762164354809678,0.022946350636830773,0.0,0.4935301565337111,0.7745556043555422,-0.2076083009154772,0.6785598321323217,1.1637924636043147,0.9120162008008104,-0.22535059583660091,3,9,6,2,2017,2017-02-09,0.3101337201911043,0.9704061005011864
2017-02-10,LEN,46.030745509273515,46.030745509273515,0.03584863907944258,0.015817147371206958,-0.0014038376045184173,2.266441491510683,0.871080520686552,1.1066132109635818,-0.04180043625154349,0.9493023581694028,1.3842511409889027,1.0547517333871588,-0.12476480963356477,4,10,6,2,2017,2017-02-10,0.2689338887601932,0.7504771594526057
2017-02-13,LEN,45.922576699061594,45.922576699061594,-0.002349925229651717,0.015575633147590516,-0.006365382098491537,-0.1508718912023965,0.7158041086595381,0.9395688478543635,-0.0061172665819850735,0.7131182535673564,1.5247697345946531,1.1613141503818878,-0.032512059414219315,0,13,7,2,2017,2017-02-13,0.3838699832505475,0.7679913049056397
2017-02-14,LEN,45.44073381720848,45.44073381720848,-0.010492505353319137,0.01547888198387447,0.00911516473350747,-0.6778593805579743,0.554905914644394,0.9786961047851258,-0.132629610921977,0.596818910202974,1.6047690783357054,1.255444704333611,0.03716852281004635,1,14,7,2,2017,2017-02-14,0.41902491244669654,0.820927161445548
2017-02-15,LEN,46.11924726308327,46.11924726308327,0.014931832936593725,0.015413199355794844,-0.009411478332610187,0.9687692082552516,0.7971766980697778,0.8824799789411842,-0.02698605063018056,0.6435142612793591,1.7026387801962088,1.3420685857475063,0.1271169072187357,2,15,7,2,2017,2017-02-15,0.4818153417469643,0.8588708174433654
2017-02-16,LEN,45.41123323260523,45.41123323260523,-0.015351812366737771,0.015472895248187164,0.003702742458425003,-0.9921745168239552,0.5985120385805047,0.7595046763578434,-0.07263196332728668,0.6290086647570302,1.7000588614741183,1.3915429495055405,0.18810935575750182,3,16,7,2,2017,2017-02-16,0.5482946524584087,0.8790277354568016
2017-02-17,LEN,45.68657202223557,45.68657202223557,0.00606323083585969,0.015240487037759333,0.007473102935105634,0.39783707835829835,0.8938706476437976,0.8604571718035473,-0.05236939647157039,0.6711373862983165,1.7282553973611778,1.4548487447133163,0.2567022856460865,4,17,7,2,2017,2017-02-17,0.6304306111436857,0.92238891435769
2017-02-21,LEN,46.23724960149627,46.23724960149627,0.012053379250968721,0.01510747772654597,0.003857575183532498,0.7978419342488411,1.0442104966388523,0.7353235445649335,0.06594367638430992,0.6309726119882142,1.7687632132163214,1.5061115979848378,0.33283731956812995,1,21,8,2,2017,2017-02-21,0.6972855937934556,0.940420139340918
2017-02-22,LEN,46.522421919327705,46.522421919327705,0.006167588260314716,0.014877820812716535,-0.0021479229555495583,0.414549169394693,1.1935015007822052,0.748052339743612,0.0964547668060466,0.6468753387138365,1.8081404387821505,1.553056594452673,0.40840127963931067,2,22,8,2,2017,2017-02-22,0.9316964208289769,0.9695006091874776
2017-02-23,LEN,46.36508546811036,46.36508546811036,-0.003381948848023786,0.014663817154693703,0.003826663608165832,-0.2306322298175456,0.25032303904666225,0.6297633128272845,-0.10011444689112856,0.6323627008494684,1.8042005336114526,1.581146243401785,0.471776235463686,3,23,8,2,2017,2017-02-23,0.9549263285004362,0.9971618748272508
2017-02-24,LEN,46.64042425774071,46.64042425774071,0.005938494167550434,0.014440283834494808,0.012968507212801782,0.4112449752105715,0.16100303879932967,0.7816816831963761,0.010423390331888492,0.5360032811434767,1.8138515933913508,1.6138733445509406,0.5364612036287559,4,24,8,2,2017,2017-02-24,0.6819910945588971,0.6603237584826203
2017-02-27,LEN,47.56477590864259,47.56477590864259,0.019818680160236024,0.01455909020230775,0.005635467569887838,1.3612581476481669,0.5359887897172186,0.8876471599709326,0.1530074300324394,0.6279167349683782,1.8720455738395232,1.655306667619746,0.6094970426264121,0,27,9,2,2017,2017-02-27,0.5229652429024957,0.6830905002948531
2017-02-28,LEN,47.97778409308811,47.97778409308811,0.00868306801736618,0.014360731488145614,0.016452937169847172,0.6046396748336819,0.995553037659649,0.8935566534795892,0.33080081281150453,0.7164490530240168,1.9207623969335261,1.6900518237094324,0.6781119515924368,1,28,9,2,2017,2017-02-28,0.2862361727505747,0.7514706084456122
2017-03-01,LEN,49.17747453362034,49.17747453362034,0.02500512400081978,0.014677970788784116,-0.003475616731371091,1.703581807093318,1.4880115383881893,1.2371531041979544,0.41353091473558307,0.6275801176870853,2.004598622319742,1.7293164337391775,0.7497370980315579,2,1,9,3,2017,2017-03-01,0.3338545264669448,0.6601239595823236
2017-03-02,LEN,48.91196927219108,48.91196927219108,-0.005398920215956782,0.014523115260460285,0.00209288519735286,-0.37174670304074087,1.7128797996083254,1.0784934513258124,0.31234566402822495,0.4815143560514756,2.0273616612804117,1.754012963415007,0.8090745388921278,3,2,9,3,2017,2017-03-02,0.39552409494257595,0.636225021970496
2017-03-03,LEN,49.06930572340842,49.06930572340842,0.003216726980297402,0.014283033323740325,0.0009280428595983645,0.22521315377390938,1.705132073912154,1.5261232354423375,0.34285184052825174,0.41166433545397035,2.0546491897485404,1.7932188140460783,0.8726649296344354,4,3,9,3,2017,2017-03-03,0.4288505037091534,0.7098989599728556
2017-03-06,LEN,49.13814042081601,49.13814042081601,0.001402805611222524,0.014050582803955127,0.009959075395941985,0.09983967432494298,1.7884251626254923,1.6964711057390105,0.4425151272437005,0.45347524580949333,2.0751219070437346,1.8368146709551558,0.937225810260721,0,6,10,3,2017,2017-03-06,0.47708182667776,0.7709598526637422
2017-03-07,LEN,49.86582150769621,49.86582150769621,0.014808885331198729,0.013976559537421546,0.020531364824107095,1.059551550690903,1.926565213060673,1.8667923714318824,0.5681324213260075,0.4919192010137019,2.109247072845288,1.878959180801477,1.0003143888248511,1,7,10,3,2017,2017-03-07,0.5243485625417162,0.8202906066852156
2017-03-08,LEN,51.38018485066313,51.38018485066313,0.030368763557483858,0.01456704199990302,-0.003972677400617985,2.0847584264318066,2.5028422852299075,2.0042006864017483,0.7370793686337813,0.7497094108313049,2.1622222278419643,1.9069465833489758,1.0534696178916836,2,8,10,3,2017,2017-03-08,0.5722414772739742,0.734556485815891
2017-03-09,LEN,51.06551194822844,51.06551194822844,-0.006124401913875643,0.014450232819348156,0.009947751158965401,-0.4238272137508656,2.474020644164314,1.708813324665179,0.5991853829148901,0.647977090099688,2.156661385050496,1.9161523709432282,1.0956291815593158,3,9,10,3,2017,2017-03-09,0.6202218304921281,0.7242718731356417
2017-03-10,LEN,51.84236067611406,51.84236067611406,0.01521278644328894,0.014352071699726283,-0.009990586370762186,1.0599714634632902,2.533543656307716,1.5819583961667123,0.7747490362313867,0.7690390823018592,2.1452243229471173,1.9130859231449255,1.127924122289365,4,10,10,3,2017,2017-03-10,0.6676266116704535,0.773320191864749
2017-03-13,LEN,51.05567842002736,51.05567842002736,-0.015174506828527945,0.014546638847393021,-0.004003534972041193,-1.043162409386925,2.234088735857198,1.1852666761799877,0.9136203000446996,0.5340500837325804,2.0881199980816225,1.902937380209762,1.1569682012540095,0,13,11,3,2017,2017-03-13,0.6511823039042381,0.7511191217125293
2017-03-14,LEN,50.741005517592676,50.741005517592676,-0.006163328197226536,0.01441702521895086,0.006731959560939912,-0.4275034623040666,1.5488578698432385,1.3196962935266394,0.7719069498878299,0.557636127768583,2.016162351393154,1.8899500061807704,1.1840983078663796,1,14,11,3,2017,2017-03-14,0.9976360240837747,0.781304517606866
2017-03-15,LEN,51.26218251225012,51.26218251225012,0.010271317829457338,0.01423156440999452,0.010698672837356578,0.7217279515837355,1.7828740301433514,1.3685943745819282,1.038870275242535,0.6483303639894996,1.9604340222740582,1.8778736115282093,1.209046505540327,2,15,11,3,2017,2017-03-15,0.6179952748449715,0.6449212289387802
2017-03-16,LEN,52.08819888114116,52.08819888114116,0.016113562248225577,0.014173553669145198,-0.0017620178304627002,1.136875241337932,2.25227972597375,1.511928325271655,1.1562182773331255,0.6216725067042437,1.9273429793211545,1.8685920877658593,1.2321387539448079,3,16,11,3,2017,2017-03-16,0.3304298023271166,0.6380828054277418
2017-03-17,LEN,51.95052948632599,51.95052948632599,-0.002643005474797011,0.013991425751778565,-0.0019175189513395386,-0.18890179754990566,1.9720150775860876,1.8070733461404025,1.1062428975956746,0.5338359768658131,1.8871625500809348,1.8627540666614677,1.2578693230080114,4,17,11,3,2017,2017-03-17,0.3807030834735106,0.6498666327279775
2017-03-20,LEN,51.80302656330973,51.80302656330973,-0.0028392958546281655,0.013812607674903757,-0.0183100132461092,-0.20555827845504554,2.2236892888557938,1.9656763748291948,1.2131357823417583,0.4803676275689295,1.8422113980547081,1.859424764162164,1.2857762798062007,0,20,12,3,2017,2017-03-20,0.41502482625074966,0.6057451733430916
2017-03-21,LEN,50.41649908695691,50.41649908695691,-0.026765375854214013,0.014640547075905268,-0.007049501265689297,-1.828167739596509,1.5431172216986468,1.555794591943215,0.8339992533690511,0.3631097011392707,1.744169149806496,1.8398075213765523,1.3081289249520902,1,21,12,3,2017,2017-03-21,0.8409538533377342,0.9386827950303196
2017-03-22,LEN,49.86582150769621,49.86582150769621,-0.010922566803198808,0.01460313719163262,0.0019140023730326052,-0.7479602950972258,1.1727027098842888,1.4531525469732438,1.0111476338634926,0.33556373676375095,1.633364733052263,1.813637869582812,1.3272682940627198,2,22,12,3,2017,2017-03-22,0.5238901942691366,0.7912208737820384
2017-03-23,LEN,50.01332443071247,50.01332443071247,0.0029579964504042877,0.014362386913334298,0.0023284156828108312,0.2059543770999534,1.140089997614236,1.603456540903094,1.0578315906686588,0.44240196631825546,1.5435490508078964,1.7950517189720705,1.3499324292745867,3,23,12,3,2017,2017-03-23,0.14235127907727949,0.8797640265799819
2017-03-24,LEN,50.190327938331976,50.190327938331976,0.0035391270153359855,0.01412694675503928,-0.0007862909282021013,0.25052313686066163,1.274412282925533,1.5530579328990806,1.0761005798790766,0.451205646157969,1.4659358415728843,1.7756709920343898,1.3699271730102633,4,24,12,3,2017,2017-03-24,0.18710177567753372,0.8935211859561394
2017-03-27,LEN,50.13132676912547,50.13132676912547,-0.0011755485893416573,0.013907153751964677,0.005064499097547524,-0.0845283377395311,1.174430509758082,1.7012447489276752,1.1694271727947276,0.4151340553326178,1.3970184408154782,1.7621089070736353,1.3939326726119785,0,27,13,3,2017,2017-03-27,0.23552532790829298,0.92913927505911
2017-03-28,LEN,50.50500084076666,50.50500084076666,0.0074539034915654945,0.013710354503564724,0.0018786476126895963,0.5436696395871793,0.9838678498807503,1.9000371558629874,1.2723273730094362,0.30325737375021433,1.3538236253707299,1.7597408148157045,1.4236723950236687,1,28,13,3,2017,2017-03-28,0.2830135646287544,0.906508306325005
2017-03-29,LEN,50.64267023558184,50.64267023558184,0.00272585669781944,0.013483904671802374,-0.002721435726295745,0.20215633113453912,0.8989036665910556,1.7540791371777702,1.3578829206570582,0.36057173411880594,1.312432129179239,1.7511571846655019,1.4470595523796175,2,29,13,3,2017,2017-03-29,0.32886696186674247,0.8941455793067512
2017-03-30,LEN,50.44599967156016,50.44599967156016,-0.003883495145631133,0.01330801312868495,-0.0015224852298009908,-0.2918162995541684,0.4229704114732147,1.7854984335404807,1.2551706598126204,0.28777134537564913,1.266255684590913,1.7427307911781238,1.4716596688324166,3,30,13,3,2017,2017-03-30,0.552595044390455,0.8534271196117685
2017-03-31,LEN,50.33783086134824,50.33783086134824,-0.0021442495126705596,0.013110570002271798,-0.003942233251276682,-0.16355120428013462,0.48521140467526197,1.8569721477426175,1.4495264276150608,0.3787159021008865,1.2207669387049203,1.737046511585906,1.4991003647356194,4,31,13,3,2017,2017-03-31,0.6059316682694744,0.8237856219800098
2017-04-03,LEN,50.062492071717884,50.062492071717884,-0.005469818323891484,0.012963347279643505,-0.0038657565475222404,-0.4219449040357658,0.34071717416755143,1.8065690784115322,1.3910013133016095,0.42111335272145206,1.1662416205020698,1.728230740173234,1.5258656773525077,0,3,14,4,2017,2017-04-03,0.657401781677696,0.8658965080568061
2017-04-04,LEN,49.79698681028862,49.79698681028862,-0.005303476723629852,0.012811833408882646,0.0,-0.41395142711993643,0.2283728769284741,1.768789002658254,1.4105199054510604,0.40457228745742907,1.1048064051201059,1.7172430262272564,1.5526343854138296,1,4,14,4,2017,2017-04-04,0.7125830751488801,0.92053291379462
2017-04-05,LEN,49.79698681028862,49.79698681028862,0.0,0.012602999602915308,0.003997487673443213,0.0,-0.023901263484841225,1.5138219804915654,1.5485160282997223,0.311413262515184,1.042123872471172,1.6958961692405539,1.5691216674498791,2,5,14,4,2017,2017-04-05,0.4741597076843816,0.9996353642336854
2017-04-06,LEN,50.062492071717884,50.062492071717884,0.005331753554502328,0.012414059553251394,-0.003438760291669976,0.42949315102213087,-0.4508115473040568,1.4827981768931753,1.5556665520637494,0.3483067612698978,0.9958359198018741,1.6767744928169408,1.5838726983434475,3,6,14,4,2017,2017-04-06,0.5216739600439227,0.99977996353588
2017-04-07,LEN,49.83632092309296,49.83632092309296,-0.004517776468277224,0.012258115643104365,0.012168040744459489,-0.3685539115319602,-0.42850740257767894,1.644376047705493,1.474910504967536,0.3336712513537956,0.9468473231601628,1.663182102183093,1.605589849263133,4,7,14,4,2017,2017-04-07,0.45024576160915464,0.995002675694665
2017-04-10,LEN,50.62300317917967,50.62300317917967,0.015785319652722896,0.012329342567077956,0.0065503605802581175,1.2803050581847855,-0.41629070760182685,1.860693471096611,1.7289988330185306,0.43861579198666,0.9427969109006239,1.6678414639656922,1.6354892494135445,0,10,15,4,2017,2017-04-10,0.618605914425041,0.9788342867321358
2017-04-11,LEN,51.05567842002736,51.05567842002736,0.008547008547008517,0.012184725011184252,-0.009409815798462085,0.7014527237310069,0.0,1.936504084558247,1.7875362885304196,0.46565118012609724,0.9572133224820594,1.6785015667293397,1.6665922275540146,1,11,15,4,2017,2017-04-11,0.6670604593627465,0.9574819994469768
2017-04-12,LEN,50.436166143359074,50.436166143359074,-0.012134052388289795,0.012252393510028471,0.007518087177285858,-0.9903413874487613,-0.10699941622795071,1.6954958219425686,1.6979642252352147,0.27788329310301907,0.9343886296009755,1.6753382779302195,1.6921919430116108,2,12,15,4,2017,2017-04-12,0.5166400139508243,0.8746099631749187
2017-04-13,LEN,50.92784255341327,50.92784255341327,0.009748488984207437,0.012137951563046699,0.008417588760454175,0.803141200026383,-0.11725628884194834,1.7194352513921922,1.7562929426934557,0.37384926916089245,0.9348912612137004,1.677333694019564,1.7166496502961912,3,13,15,4,2017,2017-04-13,0.7619914626180999,0.9606081534385216
2017-04-17,LEN,51.478520132673964,51.478520132673964,0.010812898242903879,0.012044458088866642,0.0011988836152950577,0.8977488371103086,-0.21206295287066404,1.8563078676971423,2.0567960936397354,0.4835032322358145,0.9599552507092916,1.6885937675706728,1.743923839330489,0,17,16,4,2017,2017-04-17,0.8099053822610818,0.9470105578289216
2017-04-18,LEN,51.55718835828264,51.55718835828264,0.001528175740210136,0.01184593497755466,0.0025863703199800053,0.12900423167151262,-0.13947629063228847,1.923503389663836,2.0128549212896676,0.5187535246788934,0.9827355394167501,1.701888679160739,1.773495232410209,1,18,16,4,2017,2017-04-18,0.5803700557133842,0.8622663106078764
2017-04-19,LEN,51.72435833770106,51.72435833770106,0.0032424184627122266,0.011651744769768215,-0.010946433179743373,0.27827750493857817,-0.028440918016518272,2.0258772549994593,2.0194064598603068,0.6032508649815578,1.008690409553694,1.7194849585823535,1.8065841637713524,2,19,16,4,2017,2017-04-19,0.9065063218116566,0.9603084341632504
2017-04-20,LEN,51.02617783542411,51.02617783542411,-0.013498098859315633,0.011800530587632406,0.0018517699366354331,-1.1438552494802539,0.22362337090245088,1.9922272297635812,1.7977366524353673,0.45676582848575886,0.9988716930873186,1.7358341233390184,1.849614160036914,3,20,16,4,2017,2017-04-20,0.5653035846001548,0.9485854275459884
2017-04-21,LEN,51.144180173837114,51.144180173837114,0.0023125843129696566,0.011606021072019355,-0.006887687849535377,0.19925729055800218,0.4820107671960304,2.020072384259932,1.836225931579689,0.43511833912637715,0.9956374015101058,1.7556409752937991,1.8952128837757591,4,21,16,4,2017,2017-04-21,0.42293931273949664,0.8900708522092249
2017-04-24,LEN,50.71150493298942,50.71150493298942,-0.008459911555470212,0.011559066699051622,-0.01379082794214799,-0.7318853481626086,0.26354184121174784,1.9482094752426822,1.8932700706673682,0.4882095966254205,0.9708208144749707,1.7731639014205471,1.9458906867576535,0,24,17,4,2017,2017-04-24,0.47483067140503754,0.969601572730762
2017-04-25,LEN,49.85598797949513,49.85598797949513,-0.01687027341477587,0.011830342939655191,0.004253529599171733,-1.4260172761540906,-0.12287436027445296,0.994450548258653,1.7318797853918941,0.39484663495135813,0.8779140733409079,1.732825217095461,1.9466604929493174,1,25,17,4,2017,2017-04-25,0.5620088410717768,0.9846293871148312
2017-04-26,LEN,50.121493240924394,50.121493240924394,0.005325443786982298,0.011663525570547239,0.0022252281481091626,0.4565895410243812,-0.0036699544641660845,0.9298881007881704,1.6890174555439406,0.396994600929576,0.8086939818541218,1.6957667276394186,1.9442420516655192,2,26,17,4,2017,2017-04-26,0.5662308624680984,0.9687704465021868
