date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,META,130.84,130.84,0.0,0.00864472883934431,0.0077971493793043654,0.0,0.6511100703741732,1.3337501223859363,0.10663465842756004,0.4954750793805126,0.9801240641901906,0.71833260005394,0.2991136366080993,3,2,5,2,2017,2017-02-02,0.8095211311446723,0.7754262983347022
2017-02-03,META,130.98,130.98,0.0,0.008364070137843283,0.06210132022291351,0.0,0.8091488540320632,1.4830581807254213,0.3191077603182701,0.40092149366918983,0.8940821410749437,0.7093612176439776,0.31276720890523035,4,3,5,2,2017,2017-02-03,0.8571372555890919,0.7818604680603862
2017-02-06,META,132.06,132.06,0.0,0.008190001420957745,-0.012813481328371231,0.0,0.646841911157973,1.6753688214867652,1.0931929243815954,0.42468111206888953,0.8616708521879246,0.7124471256696786,0.3295595180492163,0,6,6,2,2017,2017-02-06,0.2806087121969552,0.6983145923658365
2017-02-07,META,131.84,131.84,0.0,0.007942393256551859,0.141975416523717,0.0,0.5245686607216372,1.7056714884715585,1.0301672696680095,0.41664083133294105,0.8173772222575116,0.7124604952641564,0.3454303682932816,1,7,6,2,2017,2017-02-07,0.3310619842797713,0.6432692347831279
2017-02-08,META,134.2,134.2,0.0,0.008234649668706767,-0.0034202144436627324,0.0,0.5482194426792802,2.189403371977234,1.0672426574589313,0.5590908356019969,0.8676250007583978,0.7386268957127722,0.3691603064934426,2,8,6,2,2017,2017-02-08,0.377073653803091,0.7704411219159956
2017-02-09,META,134.14,134.14,0.0,0.007978931898257867,0.0029428401569572774,0.0,0.2801249799069552,2.271502004569414,0.8916411767998836,0.5854274308676979,0.8954851504352578,0.7667570379502142,0.3956824313641833,3,9,6,2,2017,2017-02-09,0.69410753553045,0.7274651656598741
2017-02-10,META,134.19,134.19,0.0,0.00772510061218846,-0.008507529584025996,0.0,0.4295549337894099,2.2360694480090064,1.0307603451193568,0.6065252155118787,0.9082001836724254,0.7935625991170234,0.4229521593011333,4,10,6,2,2017,2017-02-10,0.7549848175980982,0.6918239983719885
2017-02-13,META,134.05,134.05,0.0,0.00748928876238447,-0.012548754292824977,0.0,0.6829409685484104,2.464663909460022,1.3047373520357701,0.6176402631702358,0.9085477630886653,0.8225690930531558,0.45346587266254473,0,13,7,2,2017,2017-02-13,0.7595529699977929,0.7123959976557517
2017-02-14,META,133.85001,133.85001,0.0,0.007264626114991834,-0.026562105860070892,0.0,0.8136557273710249,2.6084851396439444,1.5279986052038186,0.6963677867056223,0.9089758785237431,0.8636787445564689,0.49331156782494173,1,14,7,2,2017,2017-02-14,0.7966656984370074,0.626144876764004
2017-02-15,META,133.44,133.44,0.0,0.007069616262027384,0.026710243465634248,0.0,0.04865324130423824,2.8485837371281084,2.010442748139884,0.7327887056948524,0.9151130751106564,0.9288470117766883,0.5514169930063014,2,15,7,2,2017,2017-02-15,0.8563265951023948,0.8099188747423179
2017-02-16,META,133.84,133.84,0.0,0.006849428754345166,-0.021302037400713382,0.0,0.7304941111997373,2.6726813095007778,1.8466563556382531,0.7002928974596465,0.9680821496170006,1.0301571131910658,0.6332828648276352,3,16,7,2,2017,2017-02-16,0.24045426081877488,0.9844917722987294
2017-02-17,META,133.53,133.53,0.0,0.006653997513547008,0.013470752203992607,0.0,0.6384735532980443,2.3673739374398357,1.9782396873959727,0.7349974128976492,1.0044159757002933,1.1383955238204875,0.7267913001893808,4,17,7,2,2017,2017-02-17,0.3004706626718381,0.99124161939731
2017-02-21,META,133.72,133.72,0.0,0.006438656584128596,0.17559790956526353,0.0,0.42602186161527156,2.1161461678905495,1.871228483180794,0.8044893070350434,1.05077008999578,1.2538078859368154,0.8298515580585919,1,21,8,2,2017,2017-02-21,0.349179919413744,0.996164969177481
2017-02-22,META,136.12,136.12,0.0,0.0069213559884756535,-0.05081596700640572,0.0,1.0235186021878224,1.8747084481226877,2.100858556639607,0.877517869555896,1.2225454409532073,1.3646459338153463,0.9156357531559367,2,22,8,2,2017,2017-02-22,0.3962759161501691,0.8508220273564189
2017-02-23,META,135.36,135.36,0.0,0.006811161675260983,0.005466107665867795,0.0,0.27693295310329774,1.5490940372297008,1.4597305221260217,0.8172606684525136,1.2659787437249799,1.4238203265937555,0.9794972450791042,3,23,8,2,2017,2017-02-23,0.42957871965575156,0.8703928712134916
2017-02-24,META,135.44,135.44,0.0,0.0065917440563749334,0.068442234905063,0.0,0.3208300704590969,1.704571196490758,1.5543247619097047,0.9256226050604597,1.299694425311191,1.4858361091544234,1.0491754872315018,4,24,8,2,2017,2017-02-24,0.4771672227579823,0.9302407123530956
2017-02-27,META,136.41,136.41,0.0,0.006469145201655909,-0.06210561490374391,0.0,0.5580540638447686,1.5939763694620583,1.7743762846718487,0.9840584760607894,1.3836256147507553,1.552812653924936,1.1168971731460764,0,27,9,2,2017,2017-02-27,0.5256958182938853,0.9354701200144684
2017-02-28,META,135.53999,135.53999,0.0,0.006403111289724559,0.13645875025197715,0.0,0.37880511776511977,1.386119692033549,1.752137776036225,0.8329576479769261,1.3565410685849555,1.5894409187845935,1.1779147081887138,1,28,9,2,2017,2017-02-28,0.5747980928418815,0.9407147531746872
2017-03-01,META,137.42,137.42,0.0,0.006603672573370155,-0.045815746737683585,0.0,0.8813601544841245,1.3497955969166557,1.9057720484009866,0.820191497996719,1.4320525202128767,1.6072241625355008,1.2048487819968225,2,1,9,3,2017,2017-03-01,0.6094937414755796,0.906119589268012
2017-03-02,META,136.75999,136.75999,0.0,0.006482151048372882,0.029135063672751805,0.0,0.8375716097123157,1.351273269357828,1.8067608956137038,0.8433039097617526,1.4120923907826806,1.6134224434476414,1.23612228745453,3,2,9,3,2017,2017-03-02,0.8561541311299524,0.8832040770141154
2017-03-03,META,137.17,137.17,0.0,0.006282012966648105,0.018276026165539992,0.0,0.8642707788980935,1.4502209636913521,2.2453917067803904,0.8785757604139943,1.42074826975046,1.637867375400553,1.2794661794146318,4,3,9,3,2017,2017-03-03,0.9163783714497513,0.9701137307077556
2017-03-06,META,137.42,137.42,0.0,0.006080806341465726,-0.00904627652428543,0.0,1.0454419732575002,1.6032647442938055,2.8410077709509327,0.9237085776885546,1.4448071127582571,1.6819801461373516,1.3394177918449852,0,6,10,3,2017,2017-03-06,0.9999999999999919,0.8779771480043855
2017-03-07,META,137.3,137.3,0.0,0.005894957995602318,0.03268870891621988,0.0,0.9910516672282261,1.7260599913361698,2.8679549067373507,0.9114138075286226,1.4784524210478058,1.7682726475873995,1.4408428312435766,1,7,10,3,2017,2017-03-07,0.4754475478821415,0.6833821181103614
2017-03-08,META,137.72,137.72,0.0,0.00571638834123299,0.04160951811019171,0.0,0.44871095229035746,1.5026001250632308,2.692749716250318,0.67871018437733,1.534302146320427,1.852819465294526,1.5396963045747147,2,8,10,3,2017,2017-03-08,0.8577122573949519,0.7151185504147054
