date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,PHM,21.26,21.26,0.0023573785950024018,0.017042987547878367,0.02260133513165173,0.1383195633030821,1.8705529350374166,1.0435827509675566,0.06219893621204191,1.1011840886196742,1.9370669765468849,0.7501168642718362,0.33881749854975596,3,2,5,2,2017,2017-02-02,0.510333286739292,0.882494563194172
2017-02-03,PHM,21.39,21.39,0.006114769520225716,0.01676984397996862,-0.01756143185935865,0.36462888548812594,1.6445519896030358,1.2637555484574077,0.08837064283387824,1.1044196451980253,1.9476090086902005,0.8329845335703606,0.41914383990839704,4,3,5,2,2017,2017-02-03,0.41275690900792084,0.8373593379840134
2017-02-06,PHM,21.29,21.29,-0.004675081813931836,0.016553455821251038,-0.007149824560830824,-0.2824233117492027,1.643474869166985,1.386121124020801,-0.06246264391334451,1.1864325483586755,1.9402173570940247,0.9033706973037721,0.4908884506061934,0,6,6,2,2017,2017-02-06,0.4614455042910557,0.8691412966889154
2017-02-07,PHM,21.25,21.25,-0.0018788163457021945,0.016302992123741006,0.0036366664680787184,-0.11524365168318976,2.022998405579531,1.275275652217588,-0.0025703019666260666,1.3361121816302681,1.9089538879214587,0.958646239927563,0.5537594320828884,1,7,6,2,2017,2017-02-07,0.5042173250471923,0.8173397751830636
2017-02-08,PHM,21.27,21.27,0.0009411764705882231,0.016036961193657315,0.024007863529521046,0.05868795585540622,2.0120715384599817,1.1277321562602785,-0.005218515567611897,1.2938033874174297,1.8637194387293619,1.0021192748657326,0.609587938012569,2,8,6,2,2017,2017-02-08,0.3815563152846909,0.976827521720214
2017-02-09,PHM,21.4,21.4,0.00611189468735307,0.01578344813667329,0.041030494350984686,0.387234439168708,2.0046956804211993,1.3470942204722618,0.04787843712064038,1.232739928971604,1.8347288604218985,1.048277715528113,0.6671362531726287,3,9,6,2,2017,2017-02-09,0.4297051931132788,0.9885723670260668
2017-02-10,PHM,21.62,21.62,0.010280373831775824,0.015579732140255353,-0.018701827778443394,0.6598556213436496,2.066780062683551,1.6047826932598395,0.06148537019948507,1.6478696703957079,1.8304846208818175,1.1017943911397634,0.7296198921998264,4,10,6,2,2017,2017-02-10,0.4814619348965915,0.9921287898693846
2017-02-13,PHM,21.52,21.52,-0.0046253469010176795,0.01538479683560267,-0.005708039263465467,-0.30064400267632724,1.872794786577961,1.2399811806950225,0.10130113568741576,1.4091857115828323,1.7884234375037724,1.13397500353361,0.7788665025669876,0,13,7,2,2017,2017-02-13,0.5242588544456918,0.9962864450403246
2017-02-14,PHM,21.49,21.49,-0.0013940520446097393,0.015149583911589274,0.027088854769742536,-0.09201916387573549,1.7264042996348232,1.4390066906859023,0.019217310003248906,1.202293400029357,1.7471202109655262,1.1652260598194968,0.8280962181798563,1,14,7,2,2017,2017-02-14,0.5717710019356564,0.9987692879437572
2017-02-15,PHM,21.63,21.63,0.006514657980456029,0.014914845835629534,-0.0566268546532532,0.43679016546677263,1.8861361218500787,1.354990457965118,0.07550200322586913,1.2764830301796521,1.7099061429704987,1.192184574443821,0.8740015310774405,2,15,7,2,2017,2017-02-15,0.43072597225509124,0.9985997716007444
2017-02-16,PHM,21.34,21.34,-0.013407304669440512,0.014955291115534786,0.011842999027008017,-0.8964923896074276,1.6178852659150005,1.2099237691201459,0.07633418703556358,1.1994892678988618,1.6379968042243822,1.203493243524028,0.9109962256912266,3,16,7,2,2017,2017-02-16,0.6674812206733478,0.9992184667734554
2017-02-17,PHM,21.4,21.4,0.002811621368322248,0.014708349333448762,0.04202825076830186,0.19115818536674561,1.9269992647787844,1.3749806407743563,0.07449363322515193,1.2584517167347455,1.5806354082199796,1.2183060795136615,0.9503590447813213,4,17,7,2,2017,2017-02-17,0.7239779710893579,0.9997673420668904
2017-02-21,PHM,21.61,21.61,0.00981308411214954,0.014527764769854895,0.020065323385220542,0.6754710217026424,1.9561538672328116,1.2225375653714894,0.12154420627694171,1.1117600727580328,1.5383227204246979,1.231679756938659,0.9868568666937936,1,21,8,2,2017,2017-02-21,0.7974890062819491,0.9997108593158331
2017-02-22,PHM,21.71,21.71,0.0046274872744100914,0.014292427379073274,-0.022331947443683046,0.32377196340948905,1.9869960429982056,1.3428414222512908,0.11402133981553701,1.1719105222638666,1.5053120564681544,1.246534231066116,1.023995143627932,2,22,8,2,2017,2017-02-22,0.9999999999905158,0.9987614618805256
2017-02-23,PHM,21.6,21.6,-0.00506678949792716,0.014123906685167702,0.02684321260935746,-0.3587385282889242,0.95709513701301,1.2689240739162266,-0.09491507518009885,1.1737113205711136,1.4565371654791472,1.253439104780125,1.0564994028187282,3,23,8,2,2017,2017-02-23,0.9999999999743197,0.9979863683341084
2017-02-24,PHM,21.73,21.73,0.006018518518518423,0.013905823828284355,0.0771338491768699,0.4328056066895365,0.9903813384344219,1.4008975382729498,0.04752124848293092,1.146881199861705,1.422366945934823,1.2638772711237565,1.090711083960808,4,24,8,2,2017,2017-02-24,0.958127847734749,0.9771462066896645
2017-02-27,PHM,22.1,22.1,0.01702715140358957,0.013922749180226002,-0.010236522866676635,1.2229733641810225,0.6808120357964202,1.4819725184824744,0.1572227732752752,1.2254512958197141,1.4199115189131502,1.2818670745001939,1.1271168175449315,0,27,9,2,2017,2017-02-27,0.9999549585043326,0.9939545232197866
2017-02-28,PHM,22.05,22.05,-0.002262443438914019,0.01372480710225593,0.0915877864809649,-0.16484336880349626,0.5908101318307392,1.3243005433544068,0.2634365151305216,1.2976389500581262,1.4003597863823458,1.2917917095561444,1.1584224502082512,1,28,9,2,2017,2017-02-28,0.3797920944415963,0.6798474812257826
2017-03-01,PHM,22.49,22.49,0.01995464852607709,0.013845055749906923,-0.014161641801415562,1.4412833640060452,0.8105457712845019,1.6151071783784066,0.39798376706976685,1.2907059367627647,1.4165057867671689,1.3126570757968696,1.1942224878235044,2,1,9,3,2017,2017-03-01,0.4277583936195768,0.7680977522269744
2017-03-02,PHM,22.42,22.42,-0.003112494441974034,0.013665734188206035,0.0123362284328402,-0.22775903578310605,0.6755513489859052,1.4959217138123158,0.32350900604263927,1.1736905415617047,1.4109393013767482,1.325371778980003,1.2255686049772996,3,2,9,3,2017,2017-03-02,0.47442132714678803,0.7279257989689369
2017-03-03,PHM,22.48,22.48,0.00267618198037467,0.013440093667347169,-0.00416995264398441,0.19911929534215067,0.972189910577993,1.7992616027629706,0.3442951370619051,1.1149755316267433,1.4065734386895976,1.3407671260410903,1.259976507692675,4,3,9,3,2017,2017-03-03,0.523050946398742,0.6673777259161755
