date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,SCCO,39.1,39.1,0.012953367875647714,0.01853951729235037,-0.05735463039036548,0.6986895975437521,2.4427800185925563,2.769143668470928,2.2448557697221903,1.8265159189074642,1.9875998494748395,2.3416894131923947,2.9781124907769363,3,2,5,2,2017,2017-02-02,0.621240249020118,0.6394315304074354
2017-02-03,SCCO,38.44,38.44,-0.016879795396419484,0.018664243399287524,-0.05004731891568747,-0.904392159666319,1.7361235954872936,2.9282101156225107,2.11681580359377,1.442541481114779,2.0202617910011464,2.411569086950169,3.0657031231500387,4,3,5,2,2017,2017-02-03,0.6670848904121736,0.6302476971560043
2017-02-06,SCCO,37.87,37.87,-0.0148283038501561,0.018684449630945347,0.007122198961224597,-0.7936173739684221,1.5274570446503768,2.795915379849981,2.1184960357008364,1.4465518683499914,2.0328369432670894,2.490608219846395,3.177999349919229,0,6,6,2,2017,2017-02-06,0.5384272948368563,0.6186159480139783
2017-02-07,SCCO,37.95,37.95,0.002112490097702757,0.01837857382094358,0.06773878547883688,0.11494309179178187,1.5411859138709558,2.6638072909135277,2.233355837095743,1.560023190639178,2.0416279908220076,2.561694669074145,3.279456910671324,1,7,6,2,2017,2017-02-07,0.762675620898518,0.6078134730970534
2017-02-08,SCCO,38.7,38.7,0.01976284584980248,0.01829773922389538,-0.11386789715297262,1.080070363227922,1.93393754660804,2.6448400078721352,2.389362445798242,1.8068200568854296,2.072830562127301,2.620643787365452,3.3510389906072926,2,8,6,2,2017,2017-02-08,0.8240020340123867,0.6271265414829266
2017-02-09,SCCO,37.42,37.42,-0.03307493540051687,0.01921413754270153,0.04731172807052399,-1.7213853771480028,1.076570336491345,1.965522233769888,2.044218758676263,1.6092214792235364,2.016706581990285,2.648746287309229,3.412330036614678,3,9,6,2,2017,2017-02-09,0.0002407697033231806,0.7891445780369022
2017-02-10,SCCO,37.96,37.96,0.014430785676109004,0.019003924039232272,0.05937985773140283,0.7593582065639526,1.44002851846591,1.8609365527216106,2.1511390104529378,1.7898538722785302,1.9761183603910126,2.6568460868537707,3.436002511082699,4,10,6,2,2017,2017-02-10,0.09328444957791977,0.7043838960124024
2017-02-13,SCCO,38.64,38.64,0.017913593256059013,0.01886660111883071,-0.000864109827242733,0.9494870402586452,1.2541835553700167,0.9744344447148882,2.271384754850643,1.5536045874163522,1.9095770644744885,2.5851847168441613,3.344310279191982,0,13,7,2,2017,2017-02-13,0.3310568635925249,0.6759352711982041
2017-02-14,SCCO,38.63,38.63,-0.00025879917184257195,0.018570715644257944,-0.02897746041533387,-0.013935874998042552,1.0903003163684635,1.2058569650355528,2.2759144051655804,1.5714248609017532,1.8478187422968104,2.5260919738094914,3.272653906658347,1,14,7,2,2017,2017-02-14,0.3801206500558294,0.6602044418667967
2017-02-15,SCCO,38.3,38.3,-0.008542583484338784,0.018399756064355514,-0.028604796904020225,-0.46427699663299876,1.062829283352071,1.070920153414896,2.25232290683649,1.720548655286533,1.7673142273747442,2.4653867766104414,3.208459492745053,2,15,7,2,2017,2017-02-15,0.4936528742752557,0.6910720150105878
