date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,date,cp_rl_21,cp_score_21
2017-02-02,VZ,48.28,48.28,-0.002273196941516842,0.011865066533424392,0.03299009339495287,-0.19158737417216753,-2.1228885414087237,0.13813292203765287,-0.7828744145856926,-0.24542752530709494,-0.6851950960235701,-0.1256835587084146,-0.26029811236410827,3,2,5,2,2017,2017-02-02,0.47415558787244916,0.745367699434029
2017-02-03,VZ,48.58,48.58,0.006213753106876441,0.01175879650323729,-0.060651568151215064,0.5284344452398462,-2.0218925679177855,0.3743411873175886,-0.7515799997650993,-0.19652581920769216,-0.7831642674733017,-0.21788477135786405,-0.3224945688548933,4,3,5,2,2017,2017-02-03,0.512333719809368,0.9553100455012302
2017-02-06,VZ,48.03,48.03,-0.01132153149444215,0.011695410649428507,0.0011214287027896772,-0.968031977140997,-2.2571771548624464,0.2666105222539297,-0.7966606093821694,-0.31068261437967476,-0.9002049562306388,-0.32474445224087956,-0.39583454958185327,0,6,6,2,2017,2017-02-06,0.5713054344184061,0.9080475141646034
2017-02-07,VZ,48.04,48.04,0.0002082032063293049,0.011508413130603492,0.03760063911547776,0.01809139139918823,-1.8584216220214167,0.22322820151170636,-0.8016937717928597,-0.29127122815006634,-0.9941865487943644,-0.4235640211015383,-0.4662872626999137,1,7,6,2,2017,2017-02-07,0.6230576111057615,0.8813510216129404
2017-02-08,VZ,48.37,48.37,0.006869275603663683,0.011425976932239575,0.05015139015113665,0.601198098368404,-1.5625305367290752,0.2114219337686781,-0.7686460296145603,-0.1956840605486554,-1.0457897547063826,-0.5022217094280084,-0.5260164968255662,2,8,6,2,2017,2017-02-08,0.33426405144842264,0.845433797584266
2017-02-09,VZ,48.81,48.81,0.00909654744676458,0.011399027026213218,0.019247399471095352,0.7980108675807284,-1.4332266599971792,0.26906488712885457,-0.7261961738516778,-0.12936641889408376,-1.0557550028225304,-0.5587858751585244,-0.5737946685588042,3,9,6,2,2017,2017-02-09,0.3825422173306692,0.8449817838492921
2017-02-10,VZ,48.98,48.98,0.003482892849825836,0.011242282929157521,-0.0491920468465753,0.30980298857207633,-1.287617289503213,0.2622530470743824,-0.7179822200297536,-0.04651468126791313,-1.0471365639975794,-0.6040631057308516,-0.6154704295934613,4,10,6,2,2017,2017-02-10,0.43039303988386024,0.9075365457905626
2017-02-13,VZ,48.55,48.55,-0.008779093507554125,0.01114297780280422,-0.03260372799879764,-0.7878588347672015,-1.5353004337271174,0.4504198588678348,-0.7600005592304668,-0.17599432328684075,-1.0779677857741308,-0.6700712810330499,-0.6739892508537513,0,13,7,2,2017,2017-02-13,0.4925309215700705,0.9292373869396132
2017-02-14,VZ,48.27,48.27,-0.005767250257466383,0.010987911509046518,-0.02256632707883446,-0.5248722883068467,-1.6175072952897531,0.38801434789160005,-0.8075976082150526,-0.2248025182228192,-1.1207402091461756,-0.7430493216670745,-0.7381457260845407,1,14,7,2,2017,2017-02-14,0.5412497552921655,0.9588614127618552
2017-02-15,VZ,48.08,48.08,-0.003936192251916437,0.010815411015054286,0.04603369530056353,-0.363942918714558,-1.782760961375072,0.4792767583480055,-0.7306556806793569,-0.2592770561519155,-1.1770884341465542,-0.82583377479751,-0.8123148483481926,2,15,7,2,2017,2017-02-15,0.5934255283880377,0.980667411250774
2017-02-16,VZ,48.46,48.46,0.007903494176372705,0.010771003757435978,0.0881014391095991,0.733775083024771,-1.46955921510255,0.2691514111170204,-0.7326774021356838,-0.28473200900718537,-1.1793133447065693,-0.8775532326023139,-0.864722696099352,3,16,7,2,2017,2017-02-16,0.6448461939724843,0.9772116364733529
2017-02-17,VZ,49.19,49.19,0.0150639702847708,0.010989752827888099,0.027967021997492562,1.3707287616645736,-1.202159387749681,0.3013733992613165,-0.5642418710215352,-0.1882139980776163,-1.1205060747256368,-0.893966445958935,-0.8955153057801708,4,17,7,2,2017,2017-02-17,0.7028566931473638,0.9839686321780438
2017-02-21,VZ,49.43,49.43,0.004879040455377126,0.010854370384514433,0.02817836068967587,0.4495000891380941,-1.254602683244385,0.38577230116641226,-0.4725758682328572,-0.18636874591905547,-1.0510590099225112,-0.9013147753625015,-0.9217222329200869,1,21,8,2,2017,2017-02-21,0.6631409447170027,0.9910652589972664
2017-02-22,VZ,49.67,49.67,0.004855351001416208,0.010718400657865546,0.07572783772627054,0.4529921166786369,-1.0643801549109226,0.39124211565049855,-0.4555169141515346,-0.11143793303961715,-0.9684545550559721,-0.8967469162701868,-0.9400112577739225,2,22,8,2,2017,2017-02-22,0.830830488855689,0.9968246517639252
2017-02-23,VZ,50.31,50.31,0.012885041272397757,0.010805392571702816,0.03360491956893981,1.1924639652742586,0.07655831059961583,0.48270537363247246,-0.36343671002513417,-0.05850523054945983,-0.8440039901756161,-0.8645169893460881,-0.9406739307635598,3,23,8,2,2017,2017-02-23,0.9773255656031727,0.9982228576994384
2017-02-24,VZ,50.6,50.6,0.005764261578214969,0.010675420595387602,-0.0769676370597664,0.5399563911051395,0.34089121529810723,0.264697753638557,-0.3066052881680142,-0.05888152238381605,-0.7042177277993099,-0.8133664702935509,-0.924519978207408,4,24,8,2,2017,2017-02-24,0.5730011398660938,0.908260225275097
2017-02-27,VZ,49.94,49.94,-0.013043478260869601,0.010768193915693962,-0.036313659548762575,-1.211296746974398,0.3383007643888831,-0.06754942821484641,-0.440712852045813,-0.12383407458772987,-0.6322255556427353,-0.7898964575045141,-0.9217363744498511,0,27,9,2,2017,2017-02-27,0.6199756784339996,0.8781476137088918
2017-02-28,VZ,49.63,49.63,-0.006207448938726379,0.01064580441881757,0.021460976367727688,-0.5830887638471045,0.012397994737306236,-0.24290344657489843,-0.3921376057887184,-0.1283066214209567,-0.5917886260108495,-0.7788141443480453,-0.9246675179907639,1,28,9,2,2017,2017-02-28,0.6674352604406001,0.736111134814811
2017-03-01,VZ,49.81,49.81,0.0036268386056821367,0.010494197688249319,0.020487212312803912,0.3456041817987878,0.18532357131934835,-0.3076528443671318,-0.43496915703217437,-0.19247071108872002,-0.5409450795626901,-0.7602878402478507,-0.9227372997080705,2,1,9,3,2017,2017-03-01,0.48686585905880264,0.6137511604642483
2017-03-02,VZ,49.98,49.98,0.0034129692832762792,0.010341358839543279,0.01340659700142547,0.33003102747249907,0.4176377777484573,-0.23428731403189504,-0.377415820989748,-0.25011024851754854,-0.4825424351594182,-0.7355515003877859,-0.9165989053654933,3,2,9,3,2017,2017-03-02,0.7632722457733907,0.7468322250580741
